J-Date,Date,Adj Close,Ticker,Ticker(4)
1381-11-07,2003-01-27,642,دتماد,TMVD
1381-11-08,2003-01-28,642,دتماد,TMVD
1381-11-13,2003-02-02,635,دتماد,TMVD
1381-11-16,2003-02-05,636,دتماد,TMVD
1381-11-20,2003-02-09,630,دتماد,TMVD
1381-11-21,2003-02-10,624,دتماد,TMVD
1381-11-26,2003-02-15,617,دتماد,TMVD
1381-11-27,2003-02-16,611,دتماد,TMVD
1381-11-28,2003-02-17,605,دتماد,TMVD
1381-11-29,2003-02-18,606,دتماد,TMVD
1381-11-30,2003-02-19,606,دتماد,TMVD
1381-12-03,2003-02-22,606,دتماد,TMVD
1381-12-04,2003-02-23,606,دتماد,TMVD
1381-12-05,2003-02-24,599,دتماد,TMVD
1381-12-07,2003-02-26,605,دتماد,TMVD
1381-12-10,2003-03-01,612,دتماد,TMVD
1381-12-11,2003-03-02,618,دتماد,TMVD
1381-12-12,2003-03-03,624,دتماد,TMVD
1381-12-14,2003-03-05,630,دتماد,TMVD
1381-12-17,2003-03-08,636,دتماد,TMVD
1381-12-18,2003-03-09,643,دتماد,TMVD
1381-12-19,2003-03-10,649,دتماد,TMVD
1381-12-20,2003-03-11,656,دتماد,TMVD
1381-12-27,2003-03-18,682,دتماد,TMVD
1382-01-17,2003-04-06,675,دتماد,TMVD
1382-01-19,2003-04-08,668,دتماد,TMVD
1382-01-25,2003-04-14,661,دتماد,TMVD
1382-01-27,2003-04-16,655,دتماد,TMVD
1382-01-30,2003-04-19,648,دتماد,TMVD
1382-01-31,2003-04-20,648,دتماد,TMVD
1382-02-06,2003-04-26,655,دتماد,TMVD
1382-02-07,2003-04-27,655,دتماد,TMVD
1382-02-08,2003-04-28,655,دتماد,TMVD
1382-02-09,2003-04-29,648,دتماد,TMVD
1382-02-10,2003-04-30,648,دتماد,TMVD
1382-02-13,2003-05-03,655,دتماد,TMVD
1382-02-14,2003-05-04,655,دتماد,TMVD
1382-02-15,2003-05-05,655,دتماد,TMVD
1382-02-16,2003-05-06,655,دتماد,TMVD
1382-02-17,2003-05-07,655,دتماد,TMVD
1382-02-20,2003-05-10,655,دتماد,TMVD
1382-02-21,2003-05-11,655,دتماد,TMVD
1382-02-22,2003-05-12,655,دتماد,TMVD
1382-02-23,2003-05-13,655,دتماد,TMVD
1382-02-27,2003-05-17,655,دتماد,TMVD
1382-02-28,2003-05-18,655,دتماد,TMVD
1382-02-30,2003-05-20,655,دتماد,TMVD
1382-03-03,2003-05-24,655,دتماد,TMVD
1382-03-04,2003-05-25,655,دتماد,TMVD
1382-04-29,2003-07-20,630,دتماد,TMVD
1382-04-30,2003-07-21,629,دتماد,TMVD
1382-05-06,2003-07-28,629,دتماد,TMVD
1382-06-08,2003-08-30,629,دتماد,TMVD
1382-07-15,2003-10-07,597,دتماد,TMVD
1382-08-06,2003-10-28,443,دتماد,TMVD
1382-08-12,2003-11-03,443,دتماد,TMVD
1382-08-13,2003-11-04,438,دتماد,TMVD
1382-08-18,2003-11-09,424,دتماد,TMVD
1382-08-19,2003-11-10,417,دتماد,TMVD
1382-08-21,2003-11-12,417,دتماد,TMVD
1382-08-26,2003-11-17,416,دتماد,TMVD
1382-08-27,2003-11-18,416,دتماد,TMVD
1382-08-28,2003-11-19,416,دتماد,TMVD
1382-09-02,2003-11-23,416,دتماد,TMVD
1382-09-03,2003-11-24,416,دتماد,TMVD
1382-09-04,2003-11-25,416,دتماد,TMVD
1382-09-08,2003-11-29,417,دتماد,TMVD
1382-09-09,2003-11-30,417,دتماد,TMVD
1382-09-17,2003-12-08,417,دتماد,TMVD
1382-09-18,2003-12-09,417,دتماد,TMVD
1382-09-19,2003-12-10,417,دتماد,TMVD
1382-09-22,2003-12-13,417,دتماد,TMVD
1382-09-25,2003-12-16,417,دتماد,TMVD
1382-10-03,2003-12-24,417,دتماد,TMVD
1382-10-06,2003-12-27,417,دتماد,TMVD
1382-10-09,2003-12-30,417,دتماد,TMVD
1382-10-10,2003-12-31,417,دتماد,TMVD
1382-10-13,2004-01-03,417,دتماد,TMVD
1382-10-14,2004-01-04,417,دتماد,TMVD
1382-10-22,2004-01-12,417,دتماد,TMVD
1382-10-27,2004-01-17,417,دتماد,TMVD
1382-10-28,2004-01-18,417,دتماد,TMVD
1382-10-29,2004-01-19,417,دتماد,TMVD
1382-11-05,2004-01-25,417,دتماد,TMVD
1382-11-07,2004-01-27,417,دتماد,TMVD
1382-11-20,2004-02-09,417,دتماد,TMVD
1383-01-16,2004-04-04,208,دتماد,TMVD
1383-02-20,2004-05-09,208,دتماد,TMVD
1383-04-02,2004-06-22,177,دتماد,TMVD
1383-05-12,2004-08-02,175,دتماد,TMVD
1383-07-01,2004-09-22,166,دتماد,TMVD
1383-07-04,2004-09-25,166,دتماد,TMVD
1383-07-05,2004-09-26,166,دتماد,TMVD
1383-07-07,2004-09-28,166,دتماد,TMVD
1383-07-11,2004-10-02,166,دتماد,TMVD
1383-07-12,2004-10-03,169,دتماد,TMVD
1383-07-13,2004-10-04,169,دتماد,TMVD
1383-07-21,2004-10-12,169,دتماد,TMVD
1383-07-29,2004-10-20,169,دتماد,TMVD
1383-08-02,2004-10-23,169,دتماد,TMVD
