J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-12-22,2019-03-13,445,تنوین,TNOV
1397-12-25,2019-03-16,467,تنوین,TNOV
1397-12-26,2019-03-17,490,تنوین,TNOV
1397-12-27,2019-03-18,515,تنوین,TNOV
1397-12-28,2019-03-19,522,تنوین,TNOV
1398-01-05,2019-03-25,508,تنوین,TNOV
1398-01-06,2019-03-26,502,تنوین,TNOV
1398-01-07,2019-03-27,512,تنوین,TNOV
1398-01-10,2019-03-30,532,تنوین,TNOV
1398-01-11,2019-03-31,539,تنوین,TNOV
1398-01-17,2019-04-06,549,تنوین,TNOV
1398-01-18,2019-04-07,546,تنوین,TNOV
1398-01-19,2019-04-08,545,تنوین,TNOV
1398-01-20,2019-04-09,545,تنوین,TNOV
1398-01-21,2019-04-10,549,تنوین,TNOV
1398-01-24,2019-04-13,546,تنوین,TNOV
1398-01-25,2019-04-14,544,تنوین,TNOV
1398-01-26,2019-04-15,550,تنوین,TNOV
1398-01-28,2019-04-17,550,تنوین,TNOV
1398-01-31,2019-04-20,552,تنوین,TNOV
1398-02-02,2019-04-22,545,تنوین,TNOV
1398-02-03,2019-04-23,543,تنوین,TNOV
1398-02-04,2019-04-24,542,تنوین,TNOV
1398-02-07,2019-04-27,542,تنوین,TNOV
1398-02-08,2019-04-28,537,تنوین,TNOV
1398-02-09,2019-04-29,540,تنوین,TNOV
1398-02-10,2019-04-30,546,تنوین,TNOV
1398-02-11,2019-05-01,548,تنوین,TNOV
1398-02-14,2019-05-04,576,تنوین,TNOV
1398-02-15,2019-05-05,590,تنوین,TNOV
1398-02-16,2019-05-06,567,تنوین,TNOV
1398-02-17,2019-05-07,540,تنوین,TNOV
1398-02-18,2019-05-08,563,تنوین,TNOV
1398-02-21,2019-05-11,552,تنوین,TNOV
1398-02-22,2019-05-12,546,تنوین,TNOV
1398-02-23,2019-05-13,552,تنوین,TNOV
1398-02-24,2019-05-14,549,تنوین,TNOV
1398-02-25,2019-05-15,549,تنوین,TNOV
1398-02-28,2019-05-18,551,تنوین,TNOV
1398-02-29,2019-05-19,546,تنوین,TNOV
1398-02-30,2019-05-20,549,تنوین,TNOV
1398-02-31,2019-05-21,548,تنوین,TNOV
1398-03-01,2019-05-22,558,تنوین,TNOV
1398-03-04,2019-05-25,570,تنوین,TNOV
1398-03-05,2019-05-26,570,تنوین,TNOV
1398-03-07,2019-05-28,602,تنوین,TNOV
1398-03-19,2019-06-09,641,تنوین,TNOV
1398-03-20,2019-06-10,624,تنوین,TNOV
1398-03-21,2019-06-11,622,تنوین,TNOV
1398-03-22,2019-06-12,624,تنوین,TNOV
1398-03-25,2019-06-15,634,تنوین,TNOV
1398-03-26,2019-06-16,642,تنوین,TNOV
1398-03-27,2019-06-17,634,تنوین,TNOV
1398-03-28,2019-06-18,624,تنوین,TNOV
1398-03-29,2019-06-19,626,تنوین,TNOV
1398-04-01,2019-06-22,618,تنوین,TNOV
1398-04-02,2019-06-23,620,تنوین,TNOV
1398-04-03,2019-06-24,620,تنوین,TNOV
1398-04-04,2019-06-25,620,تنوین,TNOV
1398-04-05,2019-06-26,617,تنوین,TNOV
1398-04-09,2019-06-30,610,تنوین,TNOV
1398-04-10,2019-07-01,611,تنوین,TNOV
1398-04-11,2019-07-02,615,تنوین,TNOV
1398-04-12,2019-07-03,614,تنوین,TNOV
1398-04-15,2019-07-06,610,تنوین,TNOV
1398-04-16,2019-07-07,609,تنوین,TNOV
1398-04-17,2019-07-08,625,تنوین,TNOV
1398-04-18,2019-07-09,613,تنوین,TNOV
1398-04-19,2019-07-10,632,تنوین,TNOV
1398-04-22,2019-07-13,632,تنوین,TNOV
1398-04-23,2019-07-14,641,تنوین,TNOV
1398-04-24,2019-07-15,637,تنوین,TNOV
1398-04-25,2019-07-16,615,تنوین,TNOV
1398-04-26,2019-07-17,622,تنوین,TNOV
1398-04-29,2019-07-20,615,تنوین,TNOV
1398-04-30,2019-07-21,625,تنوین,TNOV
1398-04-31,2019-07-22,629,تنوین,TNOV
1398-05-01,2019-07-23,620,تنوین,TNOV
1398-05-02,2019-07-24,615,تنوین,TNOV
