J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-07-12,2022-10-04,1393,وطوبی,TOIZ
1401-07-16,2022-10-08,1544,وطوبی,TOIZ
1401-07-17,2022-10-09,1652,وطوبی,TOIZ
1401-07-18,2022-10-10,1724,وطوبی,TOIZ
1401-07-19,2022-10-11,1673,وطوبی,TOIZ
1401-07-20,2022-10-12,1653,وطوبی,TOIZ
1401-07-23,2022-10-15,1634,وطوبی,TOIZ
1401-07-24,2022-10-16,1584,وطوبی,TOIZ
1401-07-25,2022-10-17,1509,وطوبی,TOIZ
1401-07-26,2022-10-18,1562,وطوبی,TOIZ
1401-07-27,2022-10-19,1515,وطوبی,TOIZ
1401-07-30,2022-10-22,1489,وطوبی,TOIZ
1401-08-01,2022-10-23,1467,وطوبی,TOIZ
1401-08-02,2022-10-24,1433,وطوبی,TOIZ
1401-08-03,2022-10-25,1414,وطوبی,TOIZ
1401-08-04,2022-10-26,1365,وطوبی,TOIZ
1401-08-07,2022-10-29,1289,وطوبی,TOIZ
1401-08-08,2022-10-30,1263,وطوبی,TOIZ
1401-08-09,2022-10-31,1276,وطوبی,TOIZ
1401-08-10,2022-11-01,1355,وطوبی,TOIZ
1401-08-11,2022-11-02,1444,وطوبی,TOIZ
1401-08-14,2022-11-05,1461,وطوبی,TOIZ
1401-08-15,2022-11-06,1546,وطوبی,TOIZ
1401-08-16,2022-11-07,1607,وطوبی,TOIZ
1401-08-17,2022-11-08,1592,وطوبی,TOIZ
1401-08-18,2022-11-09,1531,وطوبی,TOIZ
1401-08-21,2022-11-12,1468,وطوبی,TOIZ
1401-08-22,2022-11-13,1448,وطوبی,TOIZ
1401-08-23,2022-11-14,1497,وطوبی,TOIZ
1401-08-24,2022-11-15,1439,وطوبی,TOIZ
1401-08-25,2022-11-16,1439,وطوبی,TOIZ
1401-08-28,2022-11-19,1395,وطوبی,TOIZ
1401-08-29,2022-11-20,1384,وطوبی,TOIZ
1401-08-30,2022-11-21,1375,وطوبی,TOIZ
1401-09-01,2022-11-22,1386,وطوبی,TOIZ
1401-09-02,2022-11-23,1361,وطوبی,TOIZ
1401-09-05,2022-11-26,1410,وطوبی,TOIZ
1401-09-06,2022-11-27,1410,وطوبی,TOIZ
1401-09-07,2022-11-28,1375,وطوبی,TOIZ
1401-09-08,2022-11-29,1388,وطوبی,TOIZ
1401-09-09,2022-11-30,1386,وطوبی,TOIZ
1401-09-12,2022-12-03,1367,وطوبی,TOIZ
1401-09-13,2022-12-04,1429,وطوبی,TOIZ
1401-09-14,2022-12-05,1411,وطوبی,TOIZ
1401-09-15,2022-12-06,1400,وطوبی,TOIZ
1401-09-16,2022-12-07,1384,وطوبی,TOIZ
1401-09-19,2022-12-10,1346,وطوبی,TOIZ
1401-09-20,2022-12-11,1342,وطوبی,TOIZ
1401-09-21,2022-12-12,1398,وطوبی,TOIZ
1401-09-22,2022-12-13,1445,وطوبی,TOIZ
1401-09-23,2022-12-14,1434,وطوبی,TOIZ
1401-09-26,2022-12-17,1457,وطوبی,TOIZ
1401-09-27,2022-12-18,1485,وطوبی,TOIZ
1401-09-28,2022-12-19,1605,وطوبی,TOIZ
1401-09-29,2022-12-20,1567,وطوبی,TOIZ
1401-09-30,2022-12-21,1559,وطوبی,TOIZ
1401-10-03,2022-12-24,1614,وطوبی,TOIZ
1401-10-04,2022-12-25,1698,وطوبی,TOIZ
1401-10-05,2022-12-26,1698,وطوبی,TOIZ
1401-10-07,2022-12-28,1734,وطوبی,TOIZ
1401-10-10,2022-12-31,1615,وطوبی,TOIZ
1401-10-11,2023-01-01,1630,وطوبی,TOIZ
1401-10-12,2023-01-02,1685,وطوبی,TOIZ
1401-10-13,2023-01-03,1798,وطوبی,TOIZ
1401-10-14,2023-01-04,1914,وطوبی,TOIZ
1401-10-17,2023-01-07,2011,وطوبی,TOIZ
1401-10-18,2023-01-08,2150,وطوبی,TOIZ
1401-10-19,2023-01-09,2301,وطوبی,TOIZ
1401-10-21,2023-01-11,2210,وطوبی,TOIZ
1401-10-24,2023-01-14,2140,وطوبی,TOIZ
1401-10-26,2023-01-16,2128,وطوبی,TOIZ
1401-10-27,2023-01-17,2229,وطوبی,TOIZ
1401-10-28,2023-01-18,2154,وطوبی,TOIZ
1401-11-01,2023-01-21,2068,وطوبی,TOIZ
1401-11-02,2023-01-22,2046,وطوبی,TOIZ
1401-11-03,2023-01-23,1906,وطوبی,TOIZ
1401-11-04,2023-01-24,1896,وطوبی,TOIZ
1401-11-05,2023-01-25,1910,وطوبی,TOIZ
1401-11-08,2023-01-28,1936,وطوبی,TOIZ
1401-11-09,2023-01-29,1815,وطوبی,TOIZ
1401-11-10,2023-01-30,1771,وطوبی,TOIZ
1401-11-11,2023-01-31,1849,وطوبی,TOIZ
1401-11-12,2023-02-01,1887,وطوبی,TOIZ
1401-11-16,2023-02-05,1799,وطوبی,TOIZ
1401-11-17,2023-02-06,1903,وطوبی,TOIZ
1401-11-18,2023-02-07,1902,وطوبی,TOIZ
1401-11-19,2023-02-08,1900,وطوبی,TOIZ
1401-11-23,2023-02-12,1816,وطوبی,TOIZ
1401-11-24,2023-02-13,1811,وطوبی,TOIZ
1401-11-25,2023-02-14,1732,وطوبی,TOIZ
1401-11-26,2023-02-15,1674,وطوبی,TOIZ
1401-11-30,2023-02-19,1693,وطوبی,TOIZ
1401-12-01,2023-02-20,1766,وطوبی,TOIZ
1401-12-02,2023-02-21,1727,وطوبی,TOIZ
1401-12-03,2023-02-22,1728,وطوبی,TOIZ
1401-12-06,2023-02-25,1840,وطوبی,TOIZ
1401-12-07,2023-02-26,1796,وطوبی,TOIZ
1401-12-08,2023-02-27,1799,وطوبی,TOIZ
1401-12-09,2023-02-28,1792,وطوبی,TOIZ
1401-12-10,2023-03-01,1796,وطوبی,TOIZ
1401-12-13,2023-03-04,1812,وطوبی,TOIZ
1401-12-14,2023-03-05,1838,وطوبی,TOIZ
1401-12-15,2023-03-06,1848,وطوبی,TOIZ
1401-12-16,2023-03-07,1983,وطوبی,TOIZ
1401-12-20,2023-03-11,2005,وطوبی,TOIZ
1401-12-21,2023-03-12,1914,وطوبی,TOIZ
1401-12-22,2023-03-13,1946,وطوبی,TOIZ
1401-12-23,2023-03-14,1951,وطوبی,TOIZ
1401-12-24,2023-03-15,1968,وطوبی,TOIZ
1401-12-27,2023-03-18,2025,وطوبی,TOIZ
1401-12-28,2023-03-19,2012,وطوبی,TOIZ
1402-01-05,2023-03-25,2077,وطوبی,TOIZ
1402-01-06,2023-03-26,2059,وطوبی,TOIZ
1402-01-07,2023-03-27,2112,وطوبی,TOIZ
1402-01-08,2023-03-28,2101,وطوبی,TOIZ
1402-01-09,2023-03-29,2272,وطوبی,TOIZ
1402-01-14,2023-04-03,2381,وطوبی,TOIZ
1402-01-15,2023-04-04,2210,وطوبی,TOIZ
1402-01-16,2023-04-05,2281,وطوبی,TOIZ
1402-01-19,2023-04-08,2271,وطوبی,TOIZ
1402-01-20,2023-04-09,2276,وطوبی,TOIZ
1402-01-21,2023-04-10,2227,وطوبی,TOIZ
1402-01-22,2023-04-11,2449,وطوبی,TOIZ
1402-01-26,2023-04-15,2566,وطوبی,TOIZ
1402-01-27,2023-04-16,2746,وطوبی,TOIZ
1402-01-28,2023-04-17,2708,وطوبی,TOIZ
1402-01-29,2023-04-18,2839,وطوبی,TOIZ
1402-01-30,2023-04-19,2902,وطوبی,TOIZ
1402-02-04,2023-04-24,2896,وطوبی,TOIZ
1402-02-05,2023-04-25,2971,وطوبی,TOIZ
1402-02-06,2023-04-26,2943,وطوبی,TOIZ
1402-02-09,2023-04-29,3054,وطوبی,TOIZ
1402-02-10,2023-04-30,3078,وطوبی,TOIZ
1402-02-11,2023-05-01,3268,وطوبی,TOIZ
1402-02-12,2023-05-02,3474,وطوبی,TOIZ
1402-02-17,2023-05-07,3231,وطوبی,TOIZ
1402-02-18,2023-05-08,3006,وطوبی,TOIZ
1402-02-19,2023-05-09,2960,وطوبی,TOIZ
1402-02-20,2023-05-10,2659,وطوبی,TOIZ
1402-02-30,2023-05-20,2916,وطوبی,TOIZ
1402-02-31,2023-05-21,2921,وطوبی,TOIZ
1402-03-01,2023-05-22,2910,وطوبی,TOIZ
1402-03-02,2023-05-23,2882,وطوبی,TOIZ
1402-03-03,2023-05-24,3091,وطوبی,TOIZ
1402-03-06,2023-05-27,2930,وطوبی,TOIZ
1402-03-07,2023-05-28,2916,وطوبی,TOIZ
1402-03-08,2023-05-29,3047,وطوبی,TOIZ
1402-03-09,2023-05-30,3055,وطوبی,TOIZ
1402-03-10,2023-05-31,3000,وطوبی,TOIZ
1402-03-13,2023-06-03,3170,وطوبی,TOIZ
1402-03-16,2023-06-06,3081,وطوبی,TOIZ
1402-03-17,2023-06-07,3299,وطوبی,TOIZ
1402-03-20,2023-06-10,3089,وطوبی,TOIZ
1402-03-21,2023-06-11,3300,وطوبی,TOIZ
1402-03-22,2023-06-12,3220,وطوبی,TOIZ
1402-03-23,2023-06-13,3222,وطوبی,TOIZ
1402-03-24,2023-06-14,3182,وطوبی,TOIZ
1402-03-27,2023-06-17,3147,وطوبی,TOIZ
