J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-02-01,2001-04-21,2119,شتولی,TOPP
1380-02-02,2001-04-22,2121,شتولی,TOPP
1380-02-05,2001-04-25,2121,شتولی,TOPP
1380-02-16,2001-05-06,2117,شتولی,TOPP
1380-02-17,2001-05-07,2223,شتولی,TOPP
1380-02-29,2001-05-19,2223,شتولی,TOPP
1380-03-08,2001-05-29,2226,شتولی,TOPP
1380-03-09,2001-05-30,2226,شتولی,TOPP
1380-03-19,2001-06-09,2227,شتولی,TOPP
1380-03-26,2001-06-16,2228,شتولی,TOPP
1380-03-28,2001-06-18,2229,شتولی,TOPP
1380-05-21,2001-08-12,2164,شتولی,TOPP
1380-05-24,2001-08-15,2164,شتولی,TOPP
1380-05-27,2001-08-18,2164,شتولی,TOPP
1380-05-30,2001-08-21,2187,شتولی,TOPP
1380-05-31,2001-08-22,2204,شتولی,TOPP
1380-06-03,2001-08-25,2204,شتولی,TOPP
1380-06-07,2001-08-29,2234,شتولی,TOPP
1380-06-11,2001-09-02,2234,شتولی,TOPP
1380-06-31,2001-09-22,2234,شتولی,TOPP
1380-07-02,2001-09-24,2234,شتولی,TOPP
1380-07-08,2001-09-30,2234,شتولی,TOPP
1380-07-14,2001-10-06,2257,شتولی,TOPP
1380-07-15,2001-10-07,2257,شتولی,TOPP
1380-07-17,2001-10-09,2257,شتولی,TOPP
1380-08-13,2001-11-04,2145,شتولی,TOPP
1380-08-15,2001-11-06,2253,شتولی,TOPP
1380-08-20,2001-11-11,2253,شتولی,TOPP
1380-09-19,2001-12-10,2257,شتولی,TOPP
1380-10-01,2001-12-22,2252,شتولی,TOPP
1380-10-02,2001-12-23,2251,شتولی,TOPP
1380-10-08,2001-12-29,2247,شتولی,TOPP
1380-10-11,2002-01-01,2257,شتولی,TOPP
1380-10-15,2002-01-05,2257,شتولی,TOPP
1380-10-16,2002-01-06,2257,شتولی,TOPP
1380-10-17,2002-01-07,2257,شتولی,TOPP
1380-10-23,2002-01-13,2262,شتولی,TOPP
1380-10-26,2002-01-16,2262,شتولی,TOPP
1380-11-02,2002-01-22,2262,شتولی,TOPP
1380-12-11,2002-03-02,2262,شتولی,TOPP
1380-12-13,2002-03-04,2262,شتولی,TOPP
1380-12-14,2002-03-05,2262,شتولی,TOPP
1380-12-15,2002-03-06,2262,شتولی,TOPP
1380-12-21,2002-03-12,2262,شتولی,TOPP
1380-12-22,2002-03-13,2262,شتولی,TOPP
1380-12-25,2002-03-16,2262,شتولی,TOPP
1380-12-26,2002-03-17,2262,شتولی,TOPP
1380-12-28,2002-03-19,2262,شتولی,TOPP
1381-01-19,2002-04-08,2268,شتولی,TOPP
1381-01-20,2002-04-09,2268,شتولی,TOPP
1381-01-24,2002-04-13,2268,شتولی,TOPP
1381-01-25,2002-04-14,2268,شتولی,TOPP
1381-02-01,2002-04-21,2268,شتولی,TOPP
1381-02-03,2002-04-23,2268,شتولی,TOPP
1381-02-14,2002-05-04,2304,شتولی,TOPP
1381-02-17,2002-05-07,2304,شتولی,TOPP
1381-02-18,2002-05-08,2304,شتولی,TOPP
1381-02-22,2002-05-12,2304,شتولی,TOPP
1381-02-24,2002-05-14,2304,شتولی,TOPP
1381-02-25,2002-05-15,2304,شتولی,TOPP
1381-02-28,2002-05-18,2304,شتولی,TOPP
1381-02-29,2002-05-19,2307,شتولی,TOPP
1381-02-31,2002-05-21,2309,شتولی,TOPP
1381-03-12,2002-06-02,2325,شتولی,TOPP
1381-03-21,2002-06-11,2342,شتولی,TOPP
1381-05-27,2002-08-18,2342,شتولی,TOPP
1381-05-28,2002-08-19,2342,شتولی,TOPP
1381-05-29,2002-08-20,2343,شتولی,TOPP
