J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-11-15,2021-02-03,9197,کزغال,TPCZ
1399-11-18,2021-02-06,9645,کزغال,TPCZ
1399-11-19,2021-02-07,9798,کزغال,TPCZ
1399-11-20,2021-02-08,10159,کزغال,TPCZ
1399-11-21,2021-02-09,10525,کزغال,TPCZ
1399-11-25,2021-02-13,11087,کزغال,TPCZ
1399-11-26,2021-02-14,11752,کزغال,TPCZ
1399-11-27,2021-02-15,12457,کزغال,TPCZ
1399-11-28,2021-02-16,13204,کزغال,TPCZ
1399-11-29,2021-02-17,13996,کزغال,TPCZ
1399-12-04,2021-02-22,13716,کزغال,TPCZ
1399-12-05,2021-02-23,13442,کزغال,TPCZ
1399-12-06,2021-02-24,13285,کزغال,TPCZ
1399-12-09,2021-02-27,12987,کزغال,TPCZ
1399-12-10,2021-02-28,12728,کزغال,TPCZ
1399-12-11,2021-03-01,13302,کزغال,TPCZ
1399-12-12,2021-03-02,13815,کزغال,TPCZ
1399-12-13,2021-03-03,14583,کزغال,TPCZ
1399-12-16,2021-03-06,14312,کزغال,TPCZ
1399-12-17,2021-03-07,14219,کزغال,TPCZ
1399-12-18,2021-03-08,14163,کزغال,TPCZ
1399-12-19,2021-03-09,14356,کزغال,TPCZ
1399-12-20,2021-03-10,15283,کزغال,TPCZ
1399-12-23,2021-03-13,15892,کزغال,TPCZ
1399-12-24,2021-03-14,16150,کزغال,TPCZ
1399-12-25,2021-03-15,16510,کزغال,TPCZ
1399-12-26,2021-03-16,16649,کزغال,TPCZ
1399-12-27,2021-03-17,16846,کزغال,TPCZ
1400-01-07,2021-03-27,17071,کزغال,TPCZ
1400-01-08,2021-03-28,16862,کزغال,TPCZ
1400-01-10,2021-03-30,16567,کزغال,TPCZ
1400-01-11,2021-03-31,16269,کزغال,TPCZ
1400-01-14,2021-04-03,15961,کزغال,TPCZ
1400-01-15,2021-04-04,15946,کزغال,TPCZ
1400-01-16,2021-04-05,15942,کزغال,TPCZ
1400-01-17,2021-04-06,15930,کزغال,TPCZ
1400-01-18,2021-04-07,15924,کزغال,TPCZ
1400-01-21,2021-04-10,15921,کزغال,TPCZ
1400-01-22,2021-04-11,15919,کزغال,TPCZ
1400-01-23,2021-04-12,15682,کزغال,TPCZ
1400-01-24,2021-04-13,15470,کزغال,TPCZ
1400-01-25,2021-04-14,15213,کزغال,TPCZ
1400-01-28,2021-04-17,15207,کزغال,TPCZ
1400-01-29,2021-04-18,15141,کزغال,TPCZ
1400-01-30,2021-04-19,15098,کزغال,TPCZ
1400-01-31,2021-04-20,15054,کزغال,TPCZ
1400-02-01,2021-04-21,14879,کزغال,TPCZ
1400-02-04,2021-04-24,14813,کزغال,TPCZ
1400-02-05,2021-04-25,14812,کزغال,TPCZ
1400-02-06,2021-04-26,14735,کزغال,TPCZ
1400-02-07,2021-04-27,14729,کزغال,TPCZ
1400-02-08,2021-04-28,14356,کزغال,TPCZ
1400-02-11,2021-05-01,13926,کزغال,TPCZ
1400-02-12,2021-05-02,13922,کزغال,TPCZ
1400-02-13,2021-05-03,13920,کزغال,TPCZ
1400-02-15,2021-05-05,13839,کزغال,TPCZ
1400-02-18,2021-05-08,13781,کزغال,TPCZ
1400-02-19,2021-05-09,13726,کزغال,TPCZ
1400-02-20,2021-05-10,13645,کزغال,TPCZ
1400-02-21,2021-05-11,14101,کزغال,TPCZ
1400-02-22,2021-05-12,14585,کزغال,TPCZ
1400-02-25,2021-05-15,14117,کزغال,TPCZ
1400-02-26,2021-05-16,14015,کزغال,TPCZ
1400-02-27,2021-05-17,14621,کزغال,TPCZ
1400-02-28,2021-05-18,15293,کزغال,TPCZ
1400-02-29,2021-05-19,14536,کزغال,TPCZ
1400-03-01,2021-05-22,14188,کزغال,TPCZ
1400-03-02,2021-05-23,13488,کزغال,TPCZ
1400-03-03,2021-05-24,13616,کزغال,TPCZ
1400-03-08,2021-05-29,14961,کزغال,TPCZ
1400-03-09,2021-05-30,15491,کزغال,TPCZ
1400-03-10,2021-05-31,15026,کزغال,TPCZ
1400-03-11,2021-06-01,15052,کزغال,TPCZ
1400-03-12,2021-06-02,15434,کزغال,TPCZ
1400-03-17,2021-06-07,15501,کزغال,TPCZ
1400-03-18,2021-06-08,16172,کزغال,TPCZ
1400-03-19,2021-06-09,16524,کزغال,TPCZ
1400-03-22,2021-06-12,15926,کزغال,TPCZ
1400-03-23,2021-06-13,15788,کزغال,TPCZ
1400-03-24,2021-06-14,15688,کزغال,TPCZ
1400-03-25,2021-06-15,15578,کزغال,TPCZ
1400-03-26,2021-06-16,15623,کزغال,TPCZ
1400-03-29,2021-06-19,15613,کزغال,TPCZ
1400-03-30,2021-06-20,15479,کزغال,TPCZ
1400-03-31,2021-06-21,16235,کزغال,TPCZ
1400-04-01,2021-06-22,16180,کزغال,TPCZ
1400-04-02,2021-06-23,17185,کزغال,TPCZ
1400-04-05,2021-06-26,16961,کزغال,TPCZ
1400-04-06,2021-06-27,16872,کزغال,TPCZ
1400-04-07,2021-06-28,16797,کزغال,TPCZ
1400-04-08,2021-06-29,16986,کزغال,TPCZ
1400-04-09,2021-06-30,16767,کزغال,TPCZ
1400-04-12,2021-07-03,16394,کزغال,TPCZ
1400-04-13,2021-07-04,16937,کزغال,TPCZ
1400-04-14,2021-07-05,17697,کزغال,TPCZ
1400-04-15,2021-07-06,18071,کزغال,TPCZ
1400-04-16,2021-07-07,17573,کزغال,TPCZ
1400-04-19,2021-07-10,17863,کزغال,TPCZ
1400-04-20,2021-07-11,17929,کزغال,TPCZ
1400-04-21,2021-07-12,18305,کزغال,TPCZ
1400-04-22,2021-07-13,17963,کزغال,TPCZ
1400-04-23,2021-07-14,17828,کزغال,TPCZ
1400-04-26,2021-07-17,17179,کزغال,TPCZ
1400-04-27,2021-07-18,17255,کزغال,TPCZ
1400-04-28,2021-07-19,17415,کزغال,TPCZ
1400-05-04,2021-07-26,17026,کزغال,TPCZ
1400-05-05,2021-07-27,16359,کزغال,TPCZ
1400-05-06,2021-07-28,16678,کزغال,TPCZ
1400-05-09,2021-07-31,17539,کزغال,TPCZ
1400-05-10,2021-08-01,17489,کزغال,TPCZ
1400-05-11,2021-08-02,17673,کزغال,TPCZ
1400-05-12,2021-08-03,17892,کزغال,TPCZ
1400-05-13,2021-08-04,18605,کزغال,TPCZ
1400-05-16,2021-08-07,18409,کزغال,TPCZ
1400-05-17,2021-08-08,18414,کزغال,TPCZ
1400-05-18,2021-08-09,18608,کزغال,TPCZ
1400-05-19,2021-08-10,18524,کزغال,TPCZ
1400-05-20,2021-08-11,18534,کزغال,TPCZ
1400-05-23,2021-08-14,18405,کزغال,TPCZ
1400-05-24,2021-08-15,18576,کزغال,TPCZ
1400-05-31,2021-08-22,18573,کزغال,TPCZ
1400-06-01,2021-08-23,18549,کزغال,TPCZ
1400-06-02,2021-08-24,19534,کزغال,TPCZ
1400-06-03,2021-08-25,20446,کزغال,TPCZ
1400-06-06,2021-08-28,20847,کزغال,TPCZ
1400-06-07,2021-08-29,19972,کزغال,TPCZ
1400-06-08,2021-08-30,19553,کزغال,TPCZ
1400-06-09,2021-08-31,18668,کزغال,TPCZ
1400-06-10,2021-09-01,19712,کزغال,TPCZ
1400-06-13,2021-09-04,19987,کزغال,TPCZ
1400-06-14,2021-09-05,20325,کزغال,TPCZ
1400-06-15,2021-09-06,19519,کزغال,TPCZ
1400-06-16,2021-09-07,18932,کزغال,TPCZ
1400-06-17,2021-09-08,19618,کزغال,TPCZ
1400-06-20,2021-09-11,19404,کزغال,TPCZ
1400-06-21,2021-09-12,19056,کزغال,TPCZ
1400-06-22,2021-09-13,18828,کزغال,TPCZ
1400-06-23,2021-09-14,19554,کزغال,TPCZ
1400-06-24,2021-09-15,18907,کزغال,TPCZ
1400-06-27,2021-09-18,18335,کزغال,TPCZ
1400-06-28,2021-09-19,18415,کزغال,TPCZ
1400-06-29,2021-09-20,18461,کزغال,TPCZ
1400-06-30,2021-09-21,17813,کزغال,TPCZ
1400-06-31,2021-09-22,17865,کزغال,TPCZ
1400-07-03,2021-09-25,18041,کزغال,TPCZ
1400-07-04,2021-09-26,17427,کزغال,TPCZ
1400-07-06,2021-09-28,17425,کزغال,TPCZ
1400-07-07,2021-09-29,17688,کزغال,TPCZ
1400-07-10,2021-10-02,18460,کزغال,TPCZ
1400-07-11,2021-10-03,18738,کزغال,TPCZ
1400-07-12,2021-10-04,18415,کزغال,TPCZ
1400-07-14,2021-10-06,18404,کزغال,TPCZ
1400-07-17,2021-10-09,17733,کزغال,TPCZ
1400-07-18,2021-10-10,17962,کزغال,TPCZ
1400-07-19,2021-10-11,17389,کزغال,TPCZ
1400-07-20,2021-10-12,16817,کزغال,TPCZ
1400-07-21,2021-10-13,16499,کزغال,TPCZ
1400-07-24,2021-10-16,17007,کزغال,TPCZ
1400-07-25,2021-10-17,16924,کزغال,TPCZ
1400-07-26,2021-10-18,16946,کزغال,TPCZ
1400-07-27,2021-10-19,17077,کزغال,TPCZ
1400-07-28,2021-10-20,16742,کزغال,TPCZ
1400-08-01,2021-10-23,15917,کزغال,TPCZ
1400-08-03,2021-10-25,15633,کزغال,TPCZ
1400-08-04,2021-10-26,16215,کزغال,TPCZ
1400-08-05,2021-10-27,16128,کزغال,TPCZ
1400-08-08,2021-10-30,15921,کزغال,TPCZ
1400-08-09,2021-10-31,15073,کزغال,TPCZ
1400-08-10,2021-11-01,15311,کزغال,TPCZ
1400-08-11,2021-11-02,15534,کزغال,TPCZ
1400-08-12,2021-11-03,15533,کزغال,TPCZ
1400-08-15,2021-11-06,16447,کزغال,TPCZ
1400-08-16,2021-11-07,16071,کزغال,TPCZ
1400-08-17,2021-11-08,16605,کزغال,TPCZ
1400-08-18,2021-11-09,16210,کزغال,TPCZ
1400-08-19,2021-11-10,16344,کزغال,TPCZ
1400-08-22,2021-11-13,15778,کزغال,TPCZ
1400-08-23,2021-11-14,15534,کزغال,TPCZ
1400-08-24,2021-11-15,15085,کزغال,TPCZ
1400-08-25,2021-11-16,14959,کزغال,TPCZ
1400-08-26,2021-11-17,15818,کزغال,TPCZ
1400-08-29,2021-11-20,15549,کزغال,TPCZ
1400-08-30,2021-11-21,15594,کزغال,TPCZ
1400-09-01,2021-11-22,15444,کزغال,TPCZ
1400-09-02,2021-11-23,15245,کزغال,TPCZ
1400-09-03,2021-11-24,15100,کزغال,TPCZ
1400-09-06,2021-11-27,14434,کزغال,TPCZ
1400-09-07,2021-11-28,15130,کزغال,TPCZ
1400-09-08,2021-11-29,15615,کزغال,TPCZ
1400-09-09,2021-11-30,15790,کزغال,TPCZ
1400-09-10,2021-12-01,15437,کزغال,TPCZ
1400-09-13,2021-12-04,14977,کزغال,TPCZ
1400-09-14,2021-12-05,15192,کزغال,TPCZ
1400-09-15,2021-12-06,15195,کزغال,TPCZ
1400-09-16,2021-12-07,15277,کزغال,TPCZ
1400-09-17,2021-12-08,15481,کزغال,TPCZ
1400-09-20,2021-12-11,15424,کزغال,TPCZ
1400-09-21,2021-12-12,15086,کزغال,TPCZ
1400-09-22,2021-12-13,14739,کزغال,TPCZ
1400-09-23,2021-12-14,14603,کزغال,TPCZ
1400-09-24,2021-12-15,14528,کزغال,TPCZ
1400-09-27,2021-12-18,14455,کزغال,TPCZ
1400-09-28,2021-12-19,14160,کزغال,TPCZ
1400-09-29,2021-12-20,14263,کزغال,TPCZ
1400-09-30,2021-12-21,14964,کزغال,TPCZ
1400-10-01,2021-12-22,15576,کزغال,TPCZ
1400-10-04,2021-12-25,15614,کزغال,TPCZ
1400-10-05,2021-12-26,16155,کزغال,TPCZ
1400-10-06,2021-12-27,16543,کزغال,TPCZ
1400-10-07,2021-12-28,16728,کزغال,TPCZ
1400-10-08,2021-12-29,15932,کزغال,TPCZ
1400-10-11,2022-01-01,15772,کزغال,TPCZ
1400-10-12,2022-01-02,15713,کزغال,TPCZ
1400-10-13,2022-01-03,15720,کزغال,TPCZ
1400-10-14,2022-01-04,15439,کزغال,TPCZ
1400-10-15,2022-01-05,15324,کزغال,TPCZ
1400-10-18,2022-01-08,14976,کزغال,TPCZ
1400-10-19,2022-01-09,14827,کزغال,TPCZ
1400-10-20,2022-01-10,14702,کزغال,TPCZ
1400-10-21,2022-01-11,14678,کزغال,TPCZ
1400-10-22,2022-01-12,14926,کزغال,TPCZ
1400-10-25,2022-01-15,14877,کزغال,TPCZ
1400-10-26,2022-01-16,14802,کزغال,TPCZ
1400-10-27,2022-01-17,14280,کزغال,TPCZ
1400-10-28,2022-01-18,13906,کزغال,TPCZ
1400-11-06,2022-01-26,13627,کزغال,TPCZ
1400-11-09,2022-01-29,13822,کزغال,TPCZ
1400-11-10,2022-01-30,13576,کزغال,TPCZ
1400-11-11,2022-01-31,13660,کزغال,TPCZ
1400-11-12,2022-02-01,13321,کزغال,TPCZ
1400-11-13,2022-02-02,14127,کزغال,TPCZ
1400-11-16,2022-02-05,14542,کزغال,TPCZ
1400-11-17,2022-02-06,14441,کزغال,TPCZ
1400-11-18,2022-02-07,14110,کزغال,TPCZ
1400-11-19,2022-02-08,13448,کزغال,TPCZ
1400-11-20,2022-02-09,13058,کزغال,TPCZ
1400-11-23,2022-02-12,13542,کزغال,TPCZ
1400-11-24,2022-02-13,12991,کزغال,TPCZ
1400-11-25,2022-02-14,13432,کزغال,TPCZ
1400-11-27,2022-02-16,13347,کزغال,TPCZ
1400-11-30,2022-02-19,12736,کزغال,TPCZ
1400-12-01,2022-02-20,12227,کزغال,TPCZ
1400-12-02,2022-02-21,12456,کزغال,TPCZ
1400-12-03,2022-02-22,11998,کزغال,TPCZ
1400-12-04,2022-02-23,11837,کزغال,TPCZ
1400-12-07,2022-02-26,12490,کزغال,TPCZ
1400-12-08,2022-02-27,13024,کزغال,TPCZ
1400-12-09,2022-02-28,13186,کزغال,TPCZ
1400-12-11,2022-03-02,12728,کزغال,TPCZ
1400-12-14,2022-03-05,12770,کزغال,TPCZ
1400-12-15,2022-03-06,13432,کزغال,TPCZ
