J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-06-16,2015-09-07,1371,تپولا,TPOP
1394-06-17,2015-09-08,1371,تپولا,TPOP
1394-06-24,2015-09-15,1371,تپولا,TPOP
1394-06-29,2015-09-20,1371,تپولا,TPOP
1394-06-31,2015-09-22,1371,تپولا,TPOP
1394-07-05,2015-09-27,1371,تپولا,TPOP
1394-07-08,2015-09-30,1371,تپولا,TPOP
1394-07-21,2015-10-13,1371,تپولا,TPOP
1394-07-25,2015-10-17,1371,تپولا,TPOP
1394-07-28,2015-10-20,1371,تپولا,TPOP
1394-08-11,2015-11-02,1371,تپولا,TPOP
1394-08-16,2015-11-07,1371,تپولا,TPOP
1394-08-26,2015-11-17,1371,تپولا,TPOP
1394-09-22,2015-12-13,1371,تپولا,TPOP
1394-10-05,2015-12-26,1322,تپولا,TPOP
1394-10-09,2015-12-30,1273,تپولا,TPOP
1394-10-12,2016-01-02,1273,تپولا,TPOP
1394-10-28,2016-01-18,1273,تپولا,TPOP
1394-11-04,2016-01-24,1273,تپولا,TPOP
1394-11-06,2016-01-26,1273,تپولا,TPOP
1394-11-10,2016-01-30,1273,تپولا,TPOP
1394-11-12,2016-02-01,1273,تپولا,TPOP
1394-11-14,2016-02-03,1273,تپولا,TPOP
1394-11-17,2016-02-06,1273,تپولا,TPOP
1394-11-18,2016-02-07,1273,تپولا,TPOP
1394-11-20,2016-02-09,1273,تپولا,TPOP
1394-11-21,2016-02-10,1273,تپولا,TPOP
1394-11-24,2016-02-13,1273,تپولا,TPOP
1394-11-25,2016-02-14,1273,تپولا,TPOP
1394-11-26,2016-02-15,1371,تپولا,TPOP
1394-12-02,2016-02-21,1273,تپولا,TPOP
1394-12-26,2016-03-16,1390,تپولا,TPOP
1395-02-01,2016-04-20,1175,تپولا,TPOP
1395-02-04,2016-04-23,1175,تپولا,TPOP
1395-02-28,2016-05-17,1175,تپولا,TPOP
1395-03-01,2016-05-21,1175,تپولا,TPOP
1395-03-31,2016-06-20,1145,تپولا,TPOP
1395-06-01,2016-08-22,1288,تپولا,TPOP
1395-06-24,2016-09-14,1231,تپولا,TPOP
1395-06-28,2016-09-18,1231,تپولا,TPOP
1395-08-03,2016-10-24,1201,تپولا,TPOP
1395-08-10,2016-10-31,1201,تپولا,TPOP
1395-10-06,2016-12-26,1180,تپولا,TPOP
1395-11-16,2017-02-04,1179,تپولا,TPOP
1395-11-25,2017-02-13,1091,تپولا,TPOP
1395-11-26,2017-02-14,1050,تپولا,TPOP
1395-12-07,2017-02-25,1051,تپولا,TPOP
1395-12-24,2017-03-14,1001,تپولا,TPOP
1395-12-28,2017-03-18,1101,تپولا,TPOP
1396-01-06,2017-03-26,1126,تپولا,TPOP
1396-01-08,2017-03-28,1238,تپولا,TPOP
1396-01-09,2017-03-29,1151,تپولا,TPOP
1396-01-14,2017-04-03,1101,تپولا,TPOP
1396-01-15,2017-04-04,1101,تپولا,TPOP
1396-01-16,2017-04-05,1101,تپولا,TPOP
1396-01-19,2017-04-08,1006,تپولا,TPOP
1396-01-20,2017-04-09,1101,تپولا,TPOP
1396-01-21,2017-04-10,1105,تپولا,TPOP
1396-01-23,2017-04-12,1041,تپولا,TPOP
1396-01-26,2017-04-15,1234,تپولا,TPOP
1396-01-27,2017-04-16,1285,تپولا,TPOP
1396-01-28,2017-04-17,1399,تپولا,TPOP
1396-01-30,2017-04-19,1283,تپولا,TPOP
1396-02-02,2017-04-22,1381,تپولا,TPOP
1396-02-03,2017-04-23,1209,تپولا,TPOP
1396-02-04,2017-04-24,1145,تپولا,TPOP
1396-02-06,2017-04-26,1178,تپولا,TPOP
1396-02-09,2017-04-29,1197,تپولا,TPOP
1396-02-10,2017-04-30,1076,تپولا,TPOP
1396-02-11,2017-05-01,1168,تپولا,TPOP
1396-02-12,2017-05-02,1197,تپولا,TPOP
1396-02-13,2017-05-03,1234,تپولا,TPOP
1396-02-16,2017-05-06,1332,تپولا,TPOP
1396-02-17,2017-05-07,1219,تپولا,TPOP
1396-02-18,2017-05-08,1198,تپولا,TPOP
1396-02-19,2017-05-09,1291,تپولا,TPOP
1396-02-20,2017-05-10,1409,تپولا,TPOP
1396-02-23,2017-05-13,1488,تپولا,TPOP
1396-02-24,2017-05-14,1636,تپولا,TPOP
1396-02-25,2017-05-15,1799,تپولا,TPOP
1396-02-26,2017-05-16,1902,تپولا,TPOP
1396-02-27,2017-05-17,1786,تپولا,TPOP
1396-02-30,2017-05-20,1801,تپولا,TPOP
1396-02-31,2017-05-21,2005,تپولا,TPOP
1396-03-01,2017-05-22,1900,تپولا,TPOP
1396-03-02,2017-05-23,2227,تپولا,TPOP
1396-03-03,2017-05-24,2294,تپولا,TPOP
1396-03-06,2017-05-27,2523,تپولا,TPOP
1396-03-07,2017-05-28,2393,تپولا,TPOP
1396-03-08,2017-05-29,2409,تپولا,TPOP
1396-03-09,2017-05-30,2423,تپولا,TPOP
1396-03-10,2017-05-31,2250,تپولا,TPOP
1396-03-13,2017-06-03,2257,تپولا,TPOP
1396-03-16,2017-06-06,2329,تپولا,TPOP
1396-03-17,2017-06-07,2163,تپولا,TPOP
1396-03-20,2017-06-10,2100,تپولا,TPOP
1396-03-21,2017-06-11,1925,تپولا,TPOP
1396-03-22,2017-06-12,2088,تپولا,TPOP
1396-03-23,2017-06-13,2001,تپولا,TPOP
1396-03-24,2017-06-14,2162,تپولا,TPOP
1396-03-27,2017-06-17,2080,تپولا,TPOP
1396-03-28,2017-06-18,1964,تپولا,TPOP
1396-03-29,2017-06-19,2003,تپولا,TPOP
1396-03-30,2017-06-20,2019,تپولا,TPOP
1396-03-31,2017-06-21,1992,تپولا,TPOP
1396-04-03,2017-06-24,1879,تپولا,TPOP
1396-04-04,2017-06-25,1952,تپولا,TPOP
1396-04-07,2017-06-28,1992,تپولا,TPOP
1396-04-10,2017-07-01,1875,تپولا,TPOP
1396-04-11,2017-07-02,1823,تپولا,TPOP
1396-04-12,2017-07-03,1796,تپولا,TPOP
1396-04-13,2017-07-04,1802,تپولا,TPOP
1396-04-14,2017-07-05,1980,تپولا,TPOP
1396-04-17,2017-07-08,1901,تپولا,TPOP
1396-04-18,2017-07-09,1832,تپولا,TPOP
1396-04-19,2017-07-10,1744,تپولا,TPOP
1396-04-20,2017-07-11,1703,تپولا,TPOP
1396-04-21,2017-07-12,1722,تپولا,TPOP
1396-04-24,2017-07-15,1652,تپولا,TPOP
1396-05-17,2017-08-08,1903,تپولا,TPOP
1396-05-18,2017-08-09,1942,تپولا,TPOP
1396-05-21,2017-08-12,1894,تپولا,TPOP
1396-05-22,2017-08-13,1815,تپولا,TPOP
1396-05-23,2017-08-14,1948,تپولا,TPOP
1396-05-24,2017-08-15,1771,تپولا,TPOP
1396-05-25,2017-08-16,1986,تپولا,TPOP
1396-05-28,2017-08-19,1999,تپولا,TPOP
1396-05-29,2017-08-20,2095,تپولا,TPOP
1396-05-30,2017-08-21,2313,تپولا,TPOP
1396-05-31,2017-08-22,2173,تپولا,TPOP
1396-06-01,2017-08-23,2176,تپولا,TPOP
1396-06-04,2017-08-26,2045,تپولا,TPOP
1396-06-05,2017-08-27,1996,تپولا,TPOP
1396-06-06,2017-08-28,2035,تپولا,TPOP
1396-06-07,2017-08-29,2105,تپولا,TPOP
1396-06-08,2017-08-30,2005,تپولا,TPOP
1396-06-11,2017-09-02,1965,تپولا,TPOP
1396-06-12,2017-09-03,1957,تپولا,TPOP
1396-06-13,2017-09-04,1905,تپولا,TPOP
1396-06-14,2017-09-05,1926,تپولا,TPOP
1396-06-15,2017-09-06,1886,تپولا,TPOP
1396-06-19,2017-09-10,1805,تپولا,TPOP
1396-06-20,2017-09-11,1798,تپولا,TPOP
1396-06-21,2017-09-12,1884,تپولا,TPOP
1396-06-22,2017-09-13,1796,تپولا,TPOP
1396-06-25,2017-09-16,1754,تپولا,TPOP
1396-06-26,2017-09-17,1704,تپولا,TPOP
1396-07-02,2017-09-24,1795,تپولا,TPOP
1396-07-03,2017-09-25,1975,تپولا,TPOP
1396-07-04,2017-09-26,1824,تپولا,TPOP
1396-07-05,2017-09-27,1836,تپولا,TPOP
1396-07-10,2017-10-02,1824,تپولا,TPOP
1396-07-11,2017-10-03,1838,تپولا,TPOP
1396-07-12,2017-10-04,1829,تپولا,TPOP
1396-07-15,2017-10-07,1754,تپولا,TPOP
1396-07-16,2017-10-08,1707,تپولا,TPOP
1396-07-17,2017-10-09,1676,تپولا,TPOP
1396-07-18,2017-10-10,1742,تپولا,TPOP
1396-07-19,2017-10-11,1734,تپولا,TPOP
1396-07-22,2017-10-14,1824,تپولا,TPOP
1396-07-23,2017-10-15,1892,تپولا,TPOP
1396-07-24,2017-10-16,1892,تپولا,TPOP
1396-07-25,2017-10-17,1824,تپولا,TPOP
1396-07-26,2017-10-18,1834,تپولا,TPOP
1396-07-29,2017-10-21,1754,تپولا,TPOP
1396-07-30,2017-10-22,1704,تپولا,TPOP
1396-08-01,2017-10-23,1687,تپولا,TPOP
1396-08-02,2017-10-24,1704,تپولا,TPOP
1396-08-03,2017-10-25,1674,تپولا,TPOP
1396-08-06,2017-10-28,1751,تپولا,TPOP
1396-08-07,2017-10-29,1935,تپولا,TPOP
1396-08-08,2017-10-30,2020,تپولا,TPOP
1396-08-09,2017-10-31,1985,تپولا,TPOP
1396-08-10,2017-11-01,1904,تپولا,TPOP
1396-08-13,2017-11-04,1995,تپولا,TPOP
1396-08-14,2017-11-05,1999,تپولا,TPOP
1396-08-15,2017-11-06,1884,تپولا,TPOP
1396-08-16,2017-11-07,2040,تپولا,TPOP
1396-08-17,2017-11-08,2075,تپولا,TPOP
1396-08-20,2017-11-11,2000,تپولا,TPOP
1396-08-21,2017-11-12,1900,تپولا,TPOP
1396-08-22,2017-11-13,1835,تپولا,TPOP
1396-08-23,2017-11-14,1870,تپولا,TPOP
1396-08-24,2017-11-15,1900,تپولا,TPOP
1396-08-27,2017-11-18,1937,تپولا,TPOP
1396-08-29,2017-11-20,1900,تپولا,TPOP
1396-08-30,2017-11-21,1840,تپولا,TPOP
1396-09-01,2017-11-22,1866,تپولا,TPOP
1396-09-04,2017-11-25,1850,تپولا,TPOP
1396-09-05,2017-11-26,1822,تپولا,TPOP
1396-09-07,2017-11-28,1895,تپولا,TPOP
1396-09-08,2017-11-29,1899,تپولا,TPOP
1396-09-11,2017-12-02,2030,تپولا,TPOP
1396-09-12,2017-12-03,2032,تپولا,TPOP
1396-09-13,2017-12-04,2013,تپولا,TPOP
1396-09-14,2017-12-05,2135,تپولا,TPOP
1396-09-18,2017-12-09,2108,تپولا,TPOP
1396-09-19,2017-12-10,2080,تپولا,TPOP
1396-09-20,2017-12-11,2000,تپولا,TPOP
1396-09-21,2017-12-12,1981,تپولا,TPOP
1396-09-22,2017-12-13,2180,تپولا,TPOP
1396-09-25,2017-12-16,2153,تپولا,TPOP
1396-09-26,2017-12-17,2050,تپولا,TPOP
1396-09-27,2017-12-18,2020,تپولا,TPOP
1396-09-28,2017-12-19,2031,تپولا,TPOP
1396-09-29,2017-12-20,2015,تپولا,TPOP
1396-10-02,2017-12-23,1980,تپولا,TPOP
1396-10-03,2017-12-24,1920,تپولا,TPOP
1396-10-04,2017-12-25,1910,تپولا,TPOP
1396-10-05,2017-12-26,1906,تپولا,TPOP
1396-10-06,2017-12-27,1882,تپولا,TPOP
1396-10-09,2017-12-30,1830,تپولا,TPOP
1396-10-10,2017-12-31,1689,تپولا,TPOP
1396-10-11,2018-01-01,1730,تپولا,TPOP
1396-10-12,2018-01-02,1700,تپولا,TPOP
1396-10-13,2018-01-03,1714,تپولا,TPOP
1396-10-16,2018-01-06,1685,تپولا,TPOP
1396-10-17,2018-01-07,1830,تپولا,TPOP
1396-10-18,2018-01-08,1810,تپولا,TPOP
1396-10-19,2018-01-09,1760,تپولا,TPOP
1396-10-20,2018-01-10,1704,تپولا,TPOP
1396-10-23,2018-01-13,1720,تپولا,TPOP
1396-10-24,2018-01-14,1720,تپولا,TPOP
1396-10-25,2018-01-15,1735,تپولا,TPOP
1397-01-07,2018-03-27,1717,تپولا,TPOP
1397-01-08,2018-03-28,1622,تپولا,TPOP
1397-01-14,2018-04-03,1750,تپولا,TPOP
1397-01-15,2018-04-04,1688,تپولا,TPOP
1397-01-18,2018-04-07,1711,تپولا,TPOP
1397-01-19,2018-04-08,1675,تپولا,TPOP
1397-01-20,2018-04-09,1625,تپولا,TPOP
1397-01-21,2018-04-10,1626,تپولا,TPOP
1397-01-22,2018-04-11,1535,تپولا,TPOP
1397-01-26,2018-04-15,1500,تپولا,TPOP
1397-01-27,2018-04-16,1578,تپولا,TPOP
1397-01-28,2018-04-17,1600,تپولا,TPOP
1397-01-29,2018-04-18,1528,تپولا,TPOP
1397-02-01,2018-04-21,1498,تپولا,TPOP
1397-02-02,2018-04-22,1440,تپولا,TPOP
1397-02-03,2018-04-23,1460,تپولا,TPOP
1397-02-04,2018-04-24,1411,تپولا,TPOP
1397-02-05,2018-04-25,1443,تپولا,TPOP
1397-02-08,2018-04-28,1433,تپولا,TPOP
1397-02-09,2018-04-29,1414,تپولا,TPOP
1397-02-10,2018-04-30,1370,تپولا,TPOP
1397-02-11,2018-05-01,1357,تپولا,TPOP
1397-02-15,2018-05-05,1300,تپولا,TPOP
1397-02-16,2018-05-06,1193,تپولا,TPOP
1397-02-17,2018-05-07,1240,تپولا,TPOP
1397-02-18,2018-05-08,1232,تپولا,TPOP
1397-02-19,2018-05-09,1200,تپولا,TPOP
1397-02-22,2018-05-12,1213,تپولا,TPOP
1397-02-23,2018-05-13,1250,تپولا,TPOP
1397-02-24,2018-05-14,1358,تپولا,TPOP
1397-02-25,2018-05-15,1340,تپولا,TPOP
1397-02-26,2018-05-16,1300,تپولا,TPOP
1397-02-29,2018-05-19,1360,تپولا,TPOP
1397-02-30,2018-05-20,1388,تپولا,TPOP
1397-02-31,2018-05-21,1330,تپولا,TPOP
1397-03-01,2018-05-22,1324,تپولا,TPOP
1397-03-02,2018-05-23,1373,تپولا,TPOP
1397-03-05,2018-05-26,1403,تپولا,TPOP
1397-03-06,2018-05-27,1391,تپولا,TPOP
1397-03-07,2018-05-28,1340,تپولا,TPOP
1397-03-08,2018-05-29,1331,تپولا,TPOP
1397-03-09,2018-05-30,1292,تپولا,TPOP
1397-03-12,2018-06-02,1315,تپولا,TPOP
1397-03-13,2018-06-03,1288,تپولا,TPOP
1397-03-19,2018-06-09,1251,تپولا,TPOP
1397-03-20,2018-06-10,1269,تپولا,TPOP
1397-03-21,2018-06-11,1279,تپولا,TPOP
1397-03-22,2018-06-12,1247,تپولا,TPOP
1397-03-23,2018-06-13,1310,تپولا,TPOP
1397-03-27,2018-06-17,1400,تپولا,TPOP
1397-05-14,2018-08-05,1240,تپولا,TPOP
1397-05-15,2018-08-06,1180,تپولا,TPOP
1397-05-16,2018-08-07,1190,تپولا,TPOP
1397-05-17,2018-08-08,1205,تپولا,TPOP
1397-05-20,2018-08-11,1240,تپولا,TPOP
1397-05-21,2018-08-12,1269,تپولا,TPOP
1397-05-22,2018-08-13,1319,تپولا,TPOP
1397-05-23,2018-08-14,1270,تپولا,TPOP
1397-05-24,2018-08-15,1269,تپولا,TPOP
1397-05-27,2018-08-18,1358,تپولا,TPOP
1397-05-28,2018-08-19,1439,تپولا,TPOP
1397-05-29,2018-08-20,1560,تپولا,TPOP
1397-05-30,2018-08-21,1530,تپولا,TPOP
1397-06-03,2018-08-25,1429,تپولا,TPOP
1397-06-04,2018-08-26,1380,تپولا,TPOP
1397-06-05,2018-08-27,1383,تپولا,TPOP
1397-06-07,2018-08-29,1366,تپولا,TPOP
1397-06-10,2018-09-01,1300,تپولا,TPOP
1397-06-12,2018-09-03,1262,تپولا,TPOP
1397-06-14,2018-09-05,1385,تپولا,TPOP
1397-06-17,2018-09-08,1619,تپولا,TPOP
1397-06-19,2018-09-10,1620,تپولا,TPOP
1397-06-21,2018-09-12,2160,تپولا,TPOP
1397-06-24,2018-09-15,2000,تپولا,TPOP
1397-06-26,2018-09-17,2055,تپولا,TPOP
1397-06-31,2018-09-22,2270,تپولا,TPOP
1397-07-02,2018-09-24,1990,تپولا,TPOP
1397-07-04,2018-09-26,2250,تپولا,TPOP
1397-07-07,2018-09-29,2500,تپولا,TPOP
1397-07-09,2018-10-01,2647,تپولا,TPOP
1397-07-11,2018-10-03,2299,تپولا,TPOP
1397-07-14,2018-10-06,1999,تپولا,TPOP
1397-07-16,2018-10-08,1810,تپولا,TPOP
1397-07-18,2018-10-10,1751,تپولا,TPOP
1397-07-21,2018-10-13,1550,تپولا,TPOP
1397-07-23,2018-10-15,1877,تپولا,TPOP
1397-07-25,2018-10-17,1980,تپولا,TPOP
1397-07-28,2018-10-20,2050,تپولا,TPOP
1397-07-30,2018-10-22,2000,تپولا,TPOP
1397-08-02,2018-10-24,1811,تپولا,TPOP
1397-08-05,2018-10-27,1860,تپولا,TPOP
1397-08-07,2018-10-29,2069,تپولا,TPOP
1397-08-09,2018-10-31,2090,تپولا,TPOP
1397-08-12,2018-11-03,2000,تپولا,TPOP
1397-08-14,2018-11-05,2090,تپولا,TPOP
1397-08-19,2018-11-10,2150,تپولا,TPOP
1397-08-21,2018-11-12,2250,تپولا,TPOP
1397-08-23,2018-11-14,2247,تپولا,TPOP
1397-08-26,2018-11-17,2075,تپولا,TPOP
1397-08-28,2018-11-19,2100,تپولا,TPOP
1397-08-30,2018-11-21,2110,تپولا,TPOP
1397-09-03,2018-11-24,2060,تپولا,TPOP
1397-09-05,2018-11-26,2060,تپولا,TPOP
1397-09-07,2018-11-28,1801,تپولا,TPOP
1397-09-10,2018-12-01,1802,تپولا,TPOP
1397-09-12,2018-12-03,1912,تپولا,TPOP
1397-09-17,2018-12-08,1912,تپولا,TPOP
1397-09-19,2018-12-10,1939,تپولا,TPOP
1397-09-21,2018-12-12,1910,تپولا,TPOP
1397-09-24,2018-12-15,1907,تپولا,TPOP
1397-09-26,2018-12-17,1839,تپولا,TPOP
1397-09-28,2018-12-19,1724,تپولا,TPOP
1397-10-01,2018-12-22,1749,تپولا,TPOP
1397-10-03,2018-12-24,1900,تپولا,TPOP
1397-10-26,2019-01-16,1900,تپولا,TPOP
1397-10-29,2019-01-19,1910,تپولا,TPOP
1397-11-01,2019-01-21,1820,تپولا,TPOP
1397-11-03,2019-01-23,1890,تپولا,TPOP
1397-11-06,2019-01-26,1909,تپولا,TPOP
1397-11-08,2019-01-28,2002,تپولا,TPOP
1397-11-10,2019-01-30,2225,تپولا,TPOP
1397-11-15,2019-02-04,2731,تپولا,TPOP
1397-11-17,2019-02-06,2911,تپولا,TPOP
1397-11-24,2019-02-13,2010,تپولا,TPOP
1397-11-27,2019-02-16,2301,تپولا,TPOP
1397-11-29,2019-02-18,2300,تپولا,TPOP
1397-12-01,2019-02-20,2400,تپولا,TPOP
1397-12-04,2019-02-23,2140,تپولا,TPOP
1397-12-06,2019-02-25,2140,تپولا,TPOP
1397-12-08,2019-02-27,2140,تپولا,TPOP
1397-12-11,2019-03-02,2134,تپولا,TPOP
1397-12-13,2019-03-04,2137,تپولا,TPOP
1397-12-15,2019-03-06,2136,تپولا,TPOP
1397-12-18,2019-03-09,2140,تپولا,TPOP
1397-12-20,2019-03-11,1950,تپولا,TPOP
1397-12-22,2019-03-13,1910,تپولا,TPOP
1397-12-25,2019-03-16,2000,تپولا,TPOP
1397-12-27,2019-03-18,2072,تپولا,TPOP
1398-01-05,2019-03-25,2225,تپولا,TPOP
1398-01-07,2019-03-27,2000,تپولا,TPOP
1398-01-10,2019-03-30,2015,تپولا,TPOP
1398-01-17,2019-04-06,2110,تپولا,TPOP
1398-01-19,2019-04-08,2189,تپولا,TPOP
1398-01-21,2019-04-10,2300,تپولا,TPOP
1398-01-24,2019-04-13,2250,تپولا,TPOP
1398-01-26,2019-04-15,2001,تپولا,TPOP
1398-01-28,2019-04-17,2120,تپولا,TPOP
1398-01-31,2019-04-20,2271,تپولا,TPOP
1398-02-02,2019-04-22,2366,تپولا,TPOP
1398-02-04,2019-04-24,2580,تپولا,TPOP
1398-02-07,2019-04-27,2720,تپولا,TPOP
1398-02-09,2019-04-29,2900,تپولا,TPOP
1398-02-11,2019-05-01,3011,تپولا,TPOP
1398-02-14,2019-05-04,3500,تپولا,TPOP
1398-02-16,2019-05-06,3100,تپولا,TPOP
1398-02-18,2019-05-08,3300,تپولا,TPOP
1398-02-21,2019-05-11,3390,تپولا,TPOP
1398-02-23,2019-05-13,3460,تپولا,TPOP
1398-02-25,2019-05-15,3201,تپولا,TPOP
1398-02-28,2019-05-18,3200,تپولا,TPOP
1398-02-30,2019-05-20,3169,تپولا,TPOP
1398-03-01,2019-05-22,3000,تپولا,TPOP
1398-03-04,2019-05-25,2810,تپولا,TPOP
1398-03-08,2019-05-29,2788,تپولا,TPOP
1398-03-11,2019-06-01,2900,تپولا,TPOP
1398-03-13,2019-06-03,2550,تپولا,TPOP
1398-03-18,2019-06-08,2655,تپولا,TPOP
1398-03-20,2019-06-10,2600,تپولا,TPOP
1398-03-27,2019-06-17,2673,تپولا,TPOP
1398-03-29,2019-06-19,2600,تپولا,TPOP
1398-04-01,2019-06-22,2550,تپولا,TPOP
1398-04-10,2019-07-01,2781,تپولا,TPOP
1398-04-12,2019-07-03,3000,تپولا,TPOP
1398-04-15,2019-07-06,3365,تپولا,TPOP
1398-04-24,2019-07-15,3060,تپولا,TPOP
1398-05-14,2019-08-05,5330,تپولا,TPOP
1398-05-16,2019-08-07,6000,تپولا,TPOP
1398-05-19,2019-08-10,6150,تپولا,TPOP
1398-05-23,2019-08-14,5890,تپولا,TPOP
1398-05-26,2019-08-17,5600,تپولا,TPOP
1398-05-28,2019-08-19,5500,تپولا,TPOP
1398-05-30,2019-08-21,5600,تپولا,TPOP
1398-06-02,2019-08-24,5650,تپولا,TPOP
1398-06-04,2019-08-26,5977,تپولا,TPOP
1398-06-06,2019-08-28,4900,تپولا,TPOP
1398-06-09,2019-08-31,5000,تپولا,TPOP
1398-06-11,2019-09-02,5243,تپولا,TPOP
1398-06-13,2019-09-04,5086,تپولا,TPOP
1398-06-25,2019-09-16,4883,تپولا,TPOP
1398-06-26,2019-09-17,4786,تپولا,TPOP
1398-06-27,2019-09-18,4786,تپولا,TPOP
1398-06-30,2019-09-21,4786,تپولا,TPOP
1398-06-31,2019-09-22,4786,تپولا,TPOP
1398-07-01,2019-09-23,4602,تپولا,TPOP
1398-07-02,2019-09-24,4510,تپولا,TPOP
1398-07-03,2019-09-25,4430,تپولا,TPOP
1398-07-06,2019-09-28,4342,تپولا,TPOP
1398-07-08,2019-09-30,4256,تپولا,TPOP
1398-07-09,2019-10-01,4171,تپولا,TPOP
1398-07-10,2019-10-02,4094,تپولا,TPOP
1398-07-14,2019-10-06,4013,تپولا,TPOP
1398-07-15,2019-10-07,3933,تپولا,TPOP
1398-07-16,2019-10-08,3855,تپولا,TPOP
1398-07-17,2019-10-09,3806,تپولا,TPOP
1398-07-20,2019-10-12,3890,تپولا,TPOP
1398-07-21,2019-10-13,3787,تپولا,TPOP
1398-07-22,2019-10-14,3716,تپولا,TPOP
1398-07-23,2019-10-15,3642,تپولا,TPOP
1398-07-24,2019-10-16,3601,تپولا,TPOP
1398-07-28,2019-10-20,3458,تپولا,TPOP
1398-07-29,2019-10-21,3390,تپولا,TPOP
1398-07-30,2019-10-22,3323,تپولا,TPOP
1398-08-01,2019-10-23,3267,تپولا,TPOP
1398-08-04,2019-10-26,3417,تپولا,TPOP
1398-08-06,2019-10-28,3477,تپولا,TPOP
1398-08-08,2019-10-30,3545,تپولا,TPOP
1398-08-11,2019-11-02,3566,تپولا,TPOP
1398-08-12,2019-11-03,3428,تپولا,TPOP
1398-08-13,2019-11-04,3370,تپولا,TPOP
1398-08-14,2019-11-05,3416,تپولا,TPOP
1398-08-18,2019-11-09,3396,تپولا,TPOP
1398-08-19,2019-11-10,3345,تپولا,TPOP
1398-08-20,2019-11-11,3412,تپولا,TPOP
1398-08-21,2019-11-12,3453,تپولا,TPOP
1398-08-22,2019-11-13,3517,تپولا,TPOP
1398-08-25,2019-11-16,3549,تپولا,TPOP
1398-08-26,2019-11-17,3470,تپولا,TPOP
1398-08-27,2019-11-18,3469,تپولا,TPOP
1398-08-28,2019-11-19,3529,تپولا,TPOP
1398-08-29,2019-11-20,3496,تپولا,TPOP
1398-09-02,2019-11-23,3565,تپولا,TPOP
1398-09-03,2019-11-24,3636,تپولا,TPOP
1398-09-04,2019-11-25,3781,تپولا,TPOP
1398-09-05,2019-11-26,3845,تپولا,TPOP
