J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-07-27,2013-10-19,127,گکیش,TRKP
1392-09-09,2013-11-30,127,گکیش,TRKP
1392-10-21,2014-01-11,152,گکیش,TRKP
1393-08-26,2014-11-17,153,گکیش,TRKP
1393-09-04,2014-11-25,157,گکیش,TRKP
1393-09-09,2014-11-30,157,گکیش,TRKP
1393-09-12,2014-12-03,157,گکیش,TRKP
1393-12-23,2015-03-14,134,گکیش,TRKP
1394-02-19,2015-05-09,134,گکیش,TRKP
1394-02-23,2015-05-13,125,گکیش,TRKP
1394-03-04,2015-05-25,125,گکیش,TRKP
1394-05-07,2015-07-29,114,گکیش,TRKP
1394-06-10,2015-09-01,103,گکیش,TRKP
1394-08-27,2015-11-18,103,گکیش,TRKP
1394-09-04,2015-11-25,105,گکیش,TRKP
1394-09-07,2015-11-28,107,گکیش,TRKP
1394-09-14,2015-12-05,107,گکیش,TRKP
1394-09-16,2015-12-07,125,گکیش,TRKP
1394-09-17,2015-12-08,129,گکیش,TRKP
1394-09-23,2015-12-14,143,گکیش,TRKP
1394-09-24,2015-12-15,146,گکیش,TRKP
1394-09-30,2015-12-21,146,گکیش,TRKP
1394-10-15,2016-01-05,138,گکیش,TRKP
1394-10-16,2016-01-06,133,گکیش,TRKP
1394-10-19,2016-01-09,133,گکیش,TRKP
1394-10-28,2016-01-18,128,گکیش,TRKP
1394-11-04,2016-01-24,123,گکیش,TRKP
1394-11-06,2016-01-26,120,گکیش,TRKP
1394-11-10,2016-01-30,117,گکیش,TRKP
1394-11-11,2016-01-31,117,گکیش,TRKP
1394-11-14,2016-02-03,113,گکیش,TRKP
1394-11-17,2016-02-06,113,گکیش,TRKP
1394-11-24,2016-02-13,111,گکیش,TRKP
1394-11-25,2016-02-14,111,گکیش,TRKP
1394-11-26,2016-02-15,128,گکیش,TRKP
1394-11-28,2016-02-17,123,گکیش,TRKP
1394-12-01,2016-02-20,121,گکیش,TRKP
1394-12-04,2016-02-23,121,گکیش,TRKP
1395-01-21,2016-04-09,117,گکیش,TRKP
1395-01-22,2016-04-10,120,گکیش,TRKP
1395-01-23,2016-04-11,123,گکیش,TRKP
1395-01-31,2016-04-19,116,گکیش,TRKP
1395-02-04,2016-04-23,112,گکیش,TRKP
1395-02-05,2016-04-24,109,گکیش,TRKP
1395-02-08,2016-04-27,107,گکیش,TRKP
1395-02-19,2016-05-08,129,گکیش,TRKP
1395-07-06,2016-09-27,130,گکیش,TRKP
1395-07-13,2016-10-04,130,گکیش,TRKP
1395-08-26,2016-11-16,128,گکیش,TRKP
1395-09-28,2016-12-18,132,گکیش,TRKP
1395-09-29,2016-12-19,140,گکیش,TRKP
1395-10-01,2016-12-21,146,گکیش,TRKP
1395-11-30,2017-02-18,150,گکیش,TRKP
1395-12-16,2017-03-06,159,گکیش,TRKP
1395-12-17,2017-03-07,167,گکیش,TRKP
1395-12-23,2017-03-13,176,گکیش,TRKP
1396-01-26,2017-04-15,194,گکیش,TRKP
1396-01-27,2017-04-16,214,گکیش,TRKP
1396-03-10,2017-05-31,194,گکیش,TRKP
1396-03-27,2017-06-17,236,گکیش,TRKP
1396-04-21,2017-07-12,260,گکیش,TRKP
1396-04-24,2017-07-15,285,گکیش,TRKP
1396-04-25,2017-07-16,314,گکیش,TRKP
1396-04-27,2017-07-18,345,گکیش,TRKP
1396-04-28,2017-07-19,345,گکیش,TRKP
1396-04-31,2017-07-22,380,گکیش,TRKP
1396-05-01,2017-07-23,418,گکیش,TRKP
1396-05-03,2017-07-25,460,گکیش,TRKP
1396-05-04,2017-07-26,506,گکیش,TRKP
1396-05-07,2017-07-29,556,گکیش,TRKP
1396-05-08,2017-07-30,600,گکیش,TRKP
1396-05-09,2017-07-31,658,گکیش,TRKP
1396-05-10,2017-08-01,656,گکیش,TRKP
1396-05-11,2017-08-02,636,گکیش,TRKP
1396-05-15,2017-08-06,599,گکیش,TRKP
1396-05-16,2017-08-07,563,گکیش,TRKP
1396-05-17,2017-08-08,612,گکیش,TRKP
1396-05-18,2017-08-09,627,گکیش,TRKP
1396-05-21,2017-08-12,585,گکیش,TRKP
1396-05-22,2017-08-13,567,گکیش,TRKP
1396-05-23,2017-08-14,637,گکیش,TRKP
1396-05-24,2017-08-15,650,گکیش,TRKP
1396-05-25,2017-08-16,616,گکیش,TRKP
1396-05-28,2017-08-19,644,گکیش,TRKP
1396-05-29,2017-08-20,593,گکیش,TRKP
1396-05-30,2017-08-21,635,گکیش,TRKP
1396-05-31,2017-08-22,627,گکیش,TRKP
1396-06-07,2017-08-29,791,گکیش,TRKP
1396-06-08,2017-08-30,728,گکیش,TRKP
1396-06-11,2017-09-02,696,گکیش,TRKP
1396-06-12,2017-09-03,675,گکیش,TRKP
