J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-05-15,2020-08-05,3751,امین,TSAN
1399-05-19,2020-08-09,3938,امین,TSAN
1399-05-22,2020-08-12,4133,امین,TSAN
1399-05-25,2020-08-15,4231,امین,TSAN
1399-05-26,2020-08-16,4259,امین,TSAN
1399-05-27,2020-08-17,4281,امین,TSAN
1399-05-28,2020-08-18,4360,امین,TSAN
1399-05-29,2020-08-19,4443,امین,TSAN
1399-06-01,2020-08-22,4512,امین,TSAN
1399-06-02,2020-08-23,4642,امین,TSAN
1399-06-03,2020-08-24,4873,امین,TSAN
1399-06-04,2020-08-25,5053,امین,TSAN
1399-06-05,2020-08-26,5190,امین,TSAN
1399-06-10,2020-08-31,5284,امین,TSAN
1399-06-11,2020-09-01,5547,امین,TSAN
1399-06-12,2020-09-02,5821,امین,TSAN
1399-06-15,2020-09-05,6110,امین,TSAN
1399-06-17,2020-09-07,5807,امین,TSAN
1399-06-18,2020-09-08,5518,امین,TSAN
1399-06-19,2020-09-09,5771,امین,TSAN
1399-06-22,2020-09-12,5778,امین,TSAN
1399-06-23,2020-09-13,5475,امین,TSAN
1399-06-24,2020-09-14,5576,امین,TSAN
1399-06-25,2020-09-15,5756,امین,TSAN
1399-06-26,2020-09-16,5457,امین,TSAN
1399-06-29,2020-09-19,5367,امین,TSAN
1399-06-30,2020-09-20,5125,امین,TSAN
1399-06-31,2020-09-21,4930,امین,TSAN
1399-07-01,2020-09-22,4837,امین,TSAN
1399-07-02,2020-09-23,5125,امین,TSAN
1399-07-05,2020-09-26,5255,امین,TSAN
1399-07-06,2020-09-27,4858,امین,TSAN
1399-07-07,2020-09-28,4653,امین,TSAN
1399-07-08,2020-09-29,4710,امین,TSAN
1399-07-09,2020-09-30,4645,امین,TSAN
1399-07-12,2020-10-03,4786,امین,TSAN
1399-07-13,2020-10-04,4580,امین,TSAN
1399-07-14,2020-10-05,4819,امین,TSAN
1399-07-15,2020-10-06,4912,امین,TSAN
1399-07-16,2020-10-07,4984,امین,TSAN
1399-07-19,2020-10-10,4840,امین,TSAN
