J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-05-28,2001-08-19,76,وتوشه,TSHE
1380-05-30,2001-08-21,80,وتوشه,TSHE
1380-05-31,2001-08-22,84,وتوشه,TSHE
1380-06-03,2001-08-25,85,وتوشه,TSHE
1380-06-04,2001-08-26,89,وتوشه,TSHE
1380-06-05,2001-08-27,93,وتوشه,TSHE
1380-06-06,2001-08-28,98,وتوشه,TSHE
1380-06-07,2001-08-29,103,وتوشه,TSHE
1380-06-10,2001-09-01,108,وتوشه,TSHE
1380-06-11,2001-09-02,108,وتوشه,TSHE
1380-06-12,2001-09-03,113,وتوشه,TSHE
1380-06-13,2001-09-04,119,وتوشه,TSHE
1380-06-14,2001-09-05,118,وتوشه,TSHE
1380-06-17,2001-09-08,115,وتوشه,TSHE
1380-06-18,2001-09-09,114,وتوشه,TSHE
1380-06-19,2001-09-10,108,وتوشه,TSHE
1380-06-20,2001-09-11,108,وتوشه,TSHE
1380-06-21,2001-09-12,107,وتوشه,TSHE
1380-06-24,2001-09-15,107,وتوشه,TSHE
1380-06-25,2001-09-16,105,وتوشه,TSHE
1380-06-27,2001-09-18,102,وتوشه,TSHE
1380-06-28,2001-09-19,100,وتوشه,TSHE
1380-06-31,2001-09-22,100,وتوشه,TSHE
1380-07-01,2001-09-23,100,وتوشه,TSHE
1380-07-02,2001-09-24,100,وتوشه,TSHE
1380-07-03,2001-09-25,100,وتوشه,TSHE
1380-07-04,2001-09-26,101,وتوشه,TSHE
1380-07-07,2001-09-29,100,وتوشه,TSHE
1380-07-08,2001-09-30,102,وتوشه,TSHE
1380-07-10,2001-10-02,103,وتوشه,TSHE
1380-07-11,2001-10-03,103,وتوشه,TSHE
1380-07-14,2001-10-06,107,وتوشه,TSHE
1380-07-15,2001-10-07,108,وتوشه,TSHE
1380-07-16,2001-10-08,108,وتوشه,TSHE
1380-07-17,2001-10-09,112,وتوشه,TSHE
1380-07-21,2001-10-13,112,وتوشه,TSHE
1380-07-22,2001-10-14,112,وتوشه,TSHE
1380-07-24,2001-10-16,116,وتوشه,TSHE
1380-07-25,2001-10-17,119,وتوشه,TSHE
1380-07-28,2001-10-20,119,وتوشه,TSHE
1380-07-29,2001-10-21,122,وتوشه,TSHE
1380-07-30,2001-10-22,125,وتوشه,TSHE
1380-08-01,2001-10-23,125,وتوشه,TSHE
1380-08-02,2001-10-24,127,وتوشه,TSHE
1380-08-05,2001-10-27,127,وتوشه,TSHE
