J-Date,Date,Adj Close,Ticker,Ticker(4)
1384-02-24,2005-05-14,8,کرازی,TSRZ
1384-02-25,2005-05-15,9,کرازی,TSRZ
1384-02-26,2005-05-16,9,کرازی,TSRZ
1384-02-27,2005-05-17,10,کرازی,TSRZ
1384-02-28,2005-05-18,10,کرازی,TSRZ
1384-02-31,2005-05-21,11,کرازی,TSRZ
1384-03-01,2005-05-22,10,کرازی,TSRZ
1384-03-02,2005-05-23,10,کرازی,TSRZ
1384-03-03,2005-05-24,10,کرازی,TSRZ
1384-03-04,2005-05-25,11,کرازی,TSRZ
1384-03-07,2005-05-28,11,کرازی,TSRZ
1384-03-08,2005-05-29,10,کرازی,TSRZ
1384-03-09,2005-05-30,11,کرازی,TSRZ
1384-03-10,2005-05-31,11,کرازی,TSRZ
1384-03-11,2005-06-01,11,کرازی,TSRZ
1384-03-16,2005-06-06,11,کرازی,TSRZ
1384-03-17,2005-06-07,11,کرازی,TSRZ
1384-03-18,2005-06-08,11,کرازی,TSRZ
1384-03-21,2005-06-11,11,کرازی,TSRZ
1384-03-22,2005-06-12,11,کرازی,TSRZ
1384-03-23,2005-06-13,11,کرازی,TSRZ
1384-03-24,2005-06-14,11,کرازی,TSRZ
1384-03-25,2005-06-15,11,کرازی,TSRZ
1384-03-29,2005-06-19,11,کرازی,TSRZ
1384-03-30,2005-06-20,11,کرازی,TSRZ
1384-03-31,2005-06-21,11,کرازی,TSRZ
1384-04-05,2005-06-26,11,کرازی,TSRZ
1384-04-08,2005-06-29,10,کرازی,TSRZ
1384-04-25,2005-07-16,10,کرازی,TSRZ
1384-04-26,2005-07-17,9,کرازی,TSRZ
1384-05-02,2005-07-24,10,کرازی,TSRZ
1384-05-08,2005-07-30,10,کرازی,TSRZ
1384-05-15,2005-08-06,10,کرازی,TSRZ
1384-05-19,2005-08-10,10,کرازی,TSRZ
1384-05-22,2005-08-13,10,کرازی,TSRZ
1384-05-23,2005-08-14,10,کرازی,TSRZ
1384-05-26,2005-08-17,10,کرازی,TSRZ
1384-05-29,2005-08-20,10,کرازی,TSRZ
1384-06-02,2005-08-24,10,کرازی,TSRZ
1384-06-06,2005-08-28,10,کرازی,TSRZ
1384-06-07,2005-08-29,10,کرازی,TSRZ
1384-06-12,2005-09-03,10,کرازی,TSRZ
1384-06-13,2005-09-04,10,کرازی,TSRZ
1384-06-15,2005-09-06,10,کرازی,TSRZ
1384-06-16,2005-09-07,10,کرازی,TSRZ
