J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-06-10,2021-09-01,9868,قتربت,TSUP
1400-06-13,2021-09-04,10164,قتربت,TSUP
1400-06-14,2021-09-05,10469,قتربت,TSUP
1400-06-15,2021-09-06,10760,قتربت,TSUP
1400-06-16,2021-09-07,11298,قتربت,TSUP
1400-06-17,2021-09-08,11637,قتربت,TSUP
1400-06-20,2021-09-11,11986,قتربت,TSUP
1400-06-21,2021-09-12,12346,قتربت,TSUP
1400-06-22,2021-09-13,12963,قتربت,TSUP
1400-06-23,2021-09-14,13351,قتربت,TSUP
1400-07-10,2021-10-02,12745,قتربت,TSUP
1400-07-11,2021-10-03,13213,قتربت,TSUP
1400-07-12,2021-10-04,13608,قتربت,TSUP
1400-07-14,2021-10-06,13628,قتربت,TSUP
1400-07-17,2021-10-09,13954,قتربت,TSUP
1400-07-18,2021-10-10,13855,قتربت,TSUP
1400-07-19,2021-10-11,13885,قتربت,TSUP
1400-07-20,2021-10-12,13903,قتربت,TSUP
1400-07-21,2021-10-13,14200,قتربت,TSUP
1400-07-24,2021-10-16,13998,قتربت,TSUP
1400-07-25,2021-10-17,14019,قتربت,TSUP
1400-07-26,2021-10-18,14030,قتربت,TSUP
1400-07-27,2021-10-19,14624,قتربت,TSUP
1400-07-28,2021-10-20,14936,قتربت,TSUP
1400-08-03,2021-10-25,15258,قتربت,TSUP
1400-08-04,2021-10-26,15318,قتربت,TSUP
1400-08-05,2021-10-27,15777,قتربت,TSUP
1400-08-08,2021-10-30,15302,قتربت,TSUP
1400-08-09,2021-10-31,15060,قتربت,TSUP
1400-08-10,2021-11-01,14837,قتربت,TSUP
1400-08-11,2021-11-02,15373,قتربت,TSUP
1400-08-12,2021-11-03,14830,قتربت,TSUP
1400-08-15,2021-11-06,14686,قتربت,TSUP
1400-08-16,2021-11-07,14833,قتربت,TSUP
1400-08-17,2021-11-08,14971,قتربت,TSUP
1400-08-18,2021-11-09,15365,قتربت,TSUP
1400-08-26,2021-11-17,14764,قتربت,TSUP
1400-08-29,2021-11-20,14341,قتربت,TSUP
1400-08-30,2021-11-21,14292,قتربت,TSUP
1400-09-01,2021-11-22,14932,قتربت,TSUP
1400-09-02,2021-11-23,14817,قتربت,TSUP
1400-09-03,2021-11-24,15011,قتربت,TSUP
1400-09-06,2021-11-27,14985,قتربت,TSUP
1400-09-07,2021-11-28,15218,قتربت,TSUP
1400-09-08,2021-11-29,15643,قتربت,TSUP
1400-09-09,2021-11-30,16110,قتربت,TSUP
1400-09-10,2021-12-01,16415,قتربت,TSUP
1400-09-13,2021-12-04,16205,قتربت,TSUP
1400-09-14,2021-12-05,15358,قتربت,TSUP
1400-09-15,2021-12-06,15568,قتربت,TSUP
