J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-07-28,2013-10-20,200,واحصا,VHSP
1392-08-20,2013-11-11,200,واحصا,VHSP
1392-08-21,2013-11-12,200,واحصا,VHSP
1392-09-09,2013-11-30,200,واحصا,VHSP
1392-09-20,2013-12-11,200,واحصا,VHSP
1392-10-04,2013-12-25,200,واحصا,VHSP
1392-10-09,2013-12-30,200,واحصا,VHSP
1392-10-14,2014-01-04,200,واحصا,VHSP
1392-10-15,2014-01-05,208,واحصا,VHSP
1392-10-23,2014-01-13,240,واحصا,VHSP
1392-11-01,2014-01-21,240,واحصا,VHSP
1392-11-09,2014-01-29,203,واحصا,VHSP
1392-11-12,2014-02-01,240,واحصا,VHSP
1392-11-13,2014-02-02,204,واحصا,VHSP
1392-11-14,2014-02-03,203,واحصا,VHSP
1392-11-19,2014-02-08,203,واحصا,VHSP
1392-11-29,2014-02-18,206,واحصا,VHSP
1392-12-04,2014-02-23,208,واحصا,VHSP
1392-12-11,2014-03-02,206,واحصا,VHSP
1392-12-13,2014-03-04,206,واحصا,VHSP
1392-12-14,2014-03-05,206,واحصا,VHSP
1392-12-18,2014-03-09,206,واحصا,VHSP
1392-12-19,2014-03-10,207,واحصا,VHSP
1392-12-20,2014-03-11,206,واحصا,VHSP
1392-12-27,2014-03-18,203,واحصا,VHSP
1393-01-10,2014-03-30,208,واحصا,VHSP
1393-01-16,2014-04-05,208,واحصا,VHSP
1393-01-17,2014-04-06,208,واحصا,VHSP
1393-01-19,2014-04-08,208,واحصا,VHSP
1393-01-20,2014-04-09,200,واحصا,VHSP
1393-01-23,2014-04-12,198,واحصا,VHSP
1393-01-24,2014-04-13,198,واحصا,VHSP
1393-01-25,2014-04-14,198,واحصا,VHSP
1393-01-27,2014-04-16,198,واحصا,VHSP
1393-01-30,2014-04-19,198,واحصا,VHSP
1393-01-31,2014-04-20,198,واحصا,VHSP
1393-02-01,2014-04-21,198,واحصا,VHSP
