J-Date,Date,Adj Close,Ticker,Ticker(4)
1394-12-16,2016-03-06,175,وایرا,VIRP
1395-01-24,2016-04-12,176,وایرا,VIRP
1395-02-08,2016-04-27,176,وایرا,VIRP
1395-04-20,2016-07-10,176,وایرا,VIRP
1395-05-02,2016-07-23,176,وایرا,VIRP
1395-05-03,2016-07-24,175,وایرا,VIRP
1395-05-17,2016-08-07,175,وایرا,VIRP
1395-05-25,2016-08-15,173,وایرا,VIRP
1395-06-20,2016-09-10,175,وایرا,VIRP
1395-09-14,2016-12-04,174,وایرا,VIRP
1395-12-17,2017-03-07,122,وایرا,VIRP
1395-12-25,2017-03-15,134,وایرا,VIRP
1396-01-15,2017-04-04,121,وایرا,VIRP
1396-01-21,2017-04-10,133,وایرا,VIRP
1396-01-23,2017-04-12,145,وایرا,VIRP
1396-01-26,2017-04-15,160,وایرا,VIRP
1396-01-27,2017-04-16,175,وایرا,VIRP
1396-01-28,2017-04-17,183,وایرا,VIRP
1396-01-29,2017-04-18,149,وایرا,VIRP
1396-01-30,2017-04-19,157,وایرا,VIRP
1396-02-02,2017-04-22,172,وایرا,VIRP
1396-02-03,2017-04-23,166,وایرا,VIRP
1396-02-06,2017-04-26,168,وایرا,VIRP
1396-02-09,2017-04-29,157,وایرا,VIRP
1396-02-30,2017-05-20,137,وایرا,VIRP
1396-02-31,2017-05-21,137,وایرا,VIRP
1396-03-01,2017-05-22,151,وایرا,VIRP
1396-03-03,2017-05-24,145,وایرا,VIRP
1396-03-06,2017-05-27,159,وایرا,VIRP
1396-03-07,2017-05-28,157,وایرا,VIRP
1396-03-09,2017-05-30,178,وایرا,VIRP
1396-03-10,2017-05-31,191,وایرا,VIRP
1396-03-13,2017-06-03,201,وایرا,VIRP
1396-03-17,2017-06-07,220,وایرا,VIRP
1396-03-20,2017-06-10,211,وایرا,VIRP
1396-03-22,2017-06-12,227,وایرا,VIRP
1396-03-23,2017-06-13,218,وایرا,VIRP
1396-03-24,2017-06-14,239,وایرا,VIRP
1396-03-28,2017-06-18,246,وایرا,VIRP
1396-03-29,2017-06-19,270,وایرا,VIRP
1396-03-30,2017-06-20,257,وایرا,VIRP
1396-03-31,2017-06-21,245,وایرا,VIRP
1396-04-03,2017-06-24,251,وایرا,VIRP
1396-04-04,2017-06-25,227,وایرا,VIRP
1396-04-10,2017-07-01,240,وایرا,VIRP
1396-04-11,2017-07-02,250,وایرا,VIRP
1396-04-12,2017-07-03,245,وایرا,VIRP
1396-04-14,2017-07-05,245,وایرا,VIRP
1396-04-17,2017-07-08,245,وایرا,VIRP
1396-04-18,2017-07-09,244,وایرا,VIRP
1396-04-20,2017-07-11,235,وایرا,VIRP
1396-04-21,2017-07-12,215,وایرا,VIRP
1396-04-24,2017-07-15,235,وایرا,VIRP
1396-04-25,2017-07-16,231,وایرا,VIRP
1396-04-26,2017-07-17,204,وایرا,VIRP
1396-04-27,2017-07-18,218,وایرا,VIRP
1396-04-28,2017-07-19,212,وایرا,VIRP
1396-04-31,2017-07-22,204,وایرا,VIRP
1396-05-01,2017-07-23,199,وایرا,VIRP
1396-05-02,2017-07-24,199,وایرا,VIRP
1396-05-03,2017-07-25,197,وایرا,VIRP
1396-05-04,2017-07-26,203,وایرا,VIRP
1396-05-07,2017-07-29,206,وایرا,VIRP
1396-05-08,2017-07-30,198,وایرا,VIRP
1396-05-09,2017-07-31,199,وایرا,VIRP
1396-05-10,2017-08-01,199,وایرا,VIRP
1396-05-11,2017-08-02,193,وایرا,VIRP
1396-05-15,2017-08-06,195,وایرا,VIRP
1396-05-16,2017-08-07,211,وایرا,VIRP
1396-05-17,2017-08-08,226,وایرا,VIRP
1396-05-18,2017-08-09,249,وایرا,VIRP
1396-05-21,2017-08-12,228,وایرا,VIRP
1396-05-22,2017-08-13,225,وایرا,VIRP
1396-05-23,2017-08-14,219,وایرا,VIRP
1396-05-24,2017-08-15,226,وایرا,VIRP
1396-05-25,2017-08-16,224,وایرا,VIRP
1396-05-28,2017-08-19,226,وایرا,VIRP
1396-05-29,2017-08-20,206,وایرا,VIRP
1396-05-30,2017-08-21,197,وایرا,VIRP
1396-05-31,2017-08-22,201,وایرا,VIRP
1396-06-01,2017-08-23,217,وایرا,VIRP
1396-06-04,2017-08-26,215,وایرا,VIRP
1396-06-05,2017-08-27,205,وایرا,VIRP
