J-Date,Date,Adj Close,Ticker,Ticker(4)
1380-01-05,2001-03-25,49,غویتا,VITZ
1380-01-20,2001-04-09,49,غویتا,VITZ
1380-01-21,2001-04-10,49,غویتا,VITZ
1380-01-22,2001-04-11,49,غویتا,VITZ
1380-01-29,2001-04-18,49,غویتا,VITZ
1382-05-21,2003-08-12,107,غویتا,VITZ
1382-05-26,2003-08-17,107,غویتا,VITZ
1382-05-27,2003-08-18,107,غویتا,VITZ
1382-05-28,2003-08-19,107,غویتا,VITZ
1382-06-01,2003-08-23,113,غویتا,VITZ
1382-06-02,2003-08-24,119,غویتا,VITZ
1382-06-03,2003-08-25,119,غویتا,VITZ
1382-06-04,2003-08-26,124,غویتا,VITZ
1382-06-05,2003-08-27,131,غویتا,VITZ
1382-06-08,2003-08-30,131,غویتا,VITZ
1382-06-09,2003-08-31,137,غویتا,VITZ
1382-06-10,2003-09-01,144,غویتا,VITZ
1382-06-11,2003-09-02,144,غویتا,VITZ
1382-06-12,2003-09-03,151,غویتا,VITZ
1382-06-15,2003-09-06,159,غویتا,VITZ
1382-06-16,2003-09-07,167,غویتا,VITZ
1382-06-17,2003-09-08,171,غویتا,VITZ
1382-06-18,2003-09-09,175,غویتا,VITZ
1382-06-22,2003-09-13,171,غویتا,VITZ
1382-06-23,2003-09-14,176,غویتا,VITZ
1382-06-24,2003-09-15,171,غویتا,VITZ
1382-06-25,2003-09-16,180,غویتا,VITZ
1382-06-26,2003-09-17,189,غویتا,VITZ
1382-06-29,2003-09-20,190,غویتا,VITZ
1382-06-30,2003-09-21,199,غویتا,VITZ
1382-06-31,2003-09-22,206,غویتا,VITZ
1382-07-01,2003-09-23,206,غویتا,VITZ
1382-07-05,2003-09-27,206,غویتا,VITZ
1382-07-06,2003-09-28,204,غویتا,VITZ
1382-07-08,2003-09-30,195,غویتا,VITZ
1382-07-09,2003-10-01,190,غویتا,VITZ
1382-07-12,2003-10-04,181,غویتا,VITZ
1382-07-13,2003-10-05,181,غویتا,VITZ
1382-07-14,2003-10-06,172,غویتا,VITZ
1382-07-15,2003-10-07,172,غویتا,VITZ
1382-07-16,2003-10-08,172,غویتا,VITZ
1382-07-19,2003-10-11,180,غویتا,VITZ
1382-07-21,2003-10-13,187,غویتا,VITZ
1382-07-22,2003-10-14,196,غویتا,VITZ
1382-07-23,2003-10-15,201,غویتا,VITZ
1382-07-26,2003-10-18,211,غویتا,VITZ
1382-07-27,2003-10-19,217,غویتا,VITZ
1382-07-28,2003-10-20,220,غویتا,VITZ
1382-07-29,2003-10-21,228,غویتا,VITZ
1382-07-30,2003-10-22,234,غویتا,VITZ
1382-08-03,2003-10-25,239,غویتا,VITZ
1382-08-04,2003-10-26,247,غویتا,VITZ
1382-08-05,2003-10-27,248,غویتا,VITZ
1382-08-06,2003-10-28,257,غویتا,VITZ
1382-08-07,2003-10-29,260,غویتا,VITZ
1382-08-10,2003-11-01,268,غویتا,VITZ
1382-08-11,2003-11-02,278,غویتا,VITZ
1382-08-12,2003-11-03,292,غویتا,VITZ
