J-Date,Date,Adj Close,Ticker,Ticker(4)
1395-03-12,2016-06-01,507,ولملت,VLMT
1395-03-16,2016-06-05,532,ولملت,VLMT
1395-03-17,2016-06-06,559,ولملت,VLMT
1395-03-18,2016-06-07,586,ولملت,VLMT
1395-03-19,2016-06-08,606,ولملت,VLMT
1395-03-22,2016-06-11,636,ولملت,VLMT
1395-03-23,2016-06-12,616,ولملت,VLMT
1395-03-24,2016-06-13,612,ولملت,VLMT
1395-03-25,2016-06-14,598,ولملت,VLMT
1395-03-26,2016-06-15,623,ولملت,VLMT
1395-03-29,2016-06-18,607,ولملت,VLMT
1395-03-30,2016-06-19,584,ولملت,VLMT
1395-03-31,2016-06-20,566,ولملت,VLMT
1395-04-01,2016-06-21,588,ولملت,VLMT
1395-04-02,2016-06-22,583,ولملت,VLMT
1395-04-05,2016-06-25,564,ولملت,VLMT
1395-04-06,2016-06-26,565,ولملت,VLMT
1395-04-08,2016-06-28,569,ولملت,VLMT
1395-04-09,2016-06-29,550,ولملت,VLMT
1395-04-12,2016-07-02,559,ولملت,VLMT
1395-04-13,2016-07-03,560,ولملت,VLMT
1395-04-14,2016-07-04,550,ولملت,VLMT
1395-04-15,2016-07-05,553,ولملت,VLMT
1395-04-19,2016-07-09,538,ولملت,VLMT
1395-04-20,2016-07-10,540,ولملت,VLMT
1395-04-21,2016-07-11,546,ولملت,VLMT
1395-04-22,2016-07-12,537,ولملت,VLMT
1395-04-23,2016-07-13,537,ولملت,VLMT
1395-04-26,2016-07-16,533,ولملت,VLMT
1395-04-27,2016-07-17,536,ولملت,VLMT
1395-04-28,2016-07-18,538,ولملت,VLMT
1395-04-29,2016-07-19,564,ولملت,VLMT
1395-04-30,2016-07-20,583,ولملت,VLMT
1395-05-02,2016-07-23,569,ولملت,VLMT
1395-05-03,2016-07-24,560,ولملت,VLMT
1395-05-04,2016-07-25,553,ولملت,VLMT
1395-05-05,2016-07-26,559,ولملت,VLMT
1395-05-06,2016-07-27,569,ولملت,VLMT
1395-05-10,2016-07-31,564,ولملت,VLMT
1395-05-11,2016-08-01,559,ولملت,VLMT
1395-05-12,2016-08-02,550,ولملت,VLMT
1395-05-13,2016-08-03,579,ولملت,VLMT
1395-05-16,2016-08-06,581,ولملت,VLMT
1395-05-17,2016-08-07,569,ولملت,VLMT
1395-05-18,2016-08-08,574,ولملت,VLMT
1395-05-19,2016-08-09,574,ولملت,VLMT
1395-05-20,2016-08-10,599,ولملت,VLMT
1395-05-23,2016-08-13,624,ولملت,VLMT
1395-05-24,2016-08-14,607,ولملت,VLMT
1395-05-25,2016-08-15,605,ولملت,VLMT
1395-05-26,2016-08-16,603,ولملت,VLMT
1395-05-27,2016-08-17,595,ولملت,VLMT
1395-05-30,2016-08-20,595,ولملت,VLMT
1395-05-31,2016-08-21,598,ولملت,VLMT
1395-06-01,2016-08-22,599,ولملت,VLMT
1395-06-02,2016-08-23,591,ولملت,VLMT
1395-06-03,2016-08-24,598,ولملت,VLMT
1395-06-06,2016-08-27,591,ولملت,VLMT
1395-06-07,2016-08-28,582,ولملت,VLMT
1395-06-08,2016-08-29,577,ولملت,VLMT
1395-06-09,2016-08-30,574,ولملت,VLMT
1395-06-10,2016-08-31,575,ولملت,VLMT
1395-06-13,2016-09-03,572,ولملت,VLMT
1395-06-14,2016-09-04,555,ولملت,VLMT
1395-06-15,2016-09-05,567,ولملت,VLMT
1395-06-16,2016-09-06,581,ولملت,VLMT
1395-06-17,2016-09-07,574,ولملت,VLMT
1395-06-20,2016-09-10,564,ولملت,VLMT
1395-06-21,2016-09-11,574,ولملت,VLMT
1395-06-23,2016-09-13,568,ولملت,VLMT
1395-06-24,2016-09-14,563,ولملت,VLMT
1395-06-27,2016-09-17,562,ولملت,VLMT
1395-06-28,2016-09-18,572,ولملت,VLMT
1395-06-29,2016-09-19,567,ولملت,VLMT
1395-06-31,2016-09-21,577,ولملت,VLMT
1395-07-03,2016-09-24,574,ولملت,VLMT
1395-07-04,2016-09-25,569,ولملت,VLMT
1395-07-05,2016-09-26,564,ولملت,VLMT
1395-07-06,2016-09-27,570,ولملت,VLMT
1395-07-07,2016-09-28,567,ولملت,VLMT
1395-07-10,2016-10-01,594,ولملت,VLMT
