J-Date,Date,Adj Close,Ticker,Ticker(4)
1392-09-09,2013-11-30,479,ولانا,VLNP
1392-10-01,2013-12-22,477,ولانا,VLNP
1392-10-03,2013-12-24,481,ولانا,VLNP
1395-05-13,2016-08-03,480,ولانا,VLNP
1395-05-17,2016-08-07,480,ولانا,VLNP
1395-05-25,2016-08-15,480,ولانا,VLNP
1395-06-21,2016-09-11,483,ولانا,VLNP
1395-10-25,2017-01-14,493,ولانا,VLNP
1395-12-02,2017-02-20,493,ولانا,VLNP
1396-01-20,2017-04-09,542,ولانا,VLNP
1396-01-23,2017-04-12,597,ولانا,VLNP
1396-02-06,2017-04-26,656,ولانا,VLNP
1396-04-11,2017-07-02,721,ولانا,VLNP
1396-07-30,2017-10-22,793,ولانا,VLNP
1396-08-10,2017-11-01,872,ولانا,VLNP
1396-09-21,2017-12-12,959,ولانا,VLNP
1396-09-25,2017-12-16,1055,ولانا,VLNP
1396-10-02,2017-12-23,1159,ولانا,VLNP
1396-10-03,2017-12-24,1275,ولانا,VLNP
1396-10-04,2017-12-25,1402,ولانا,VLNP
1396-10-05,2017-12-26,1542,ولانا,VLNP
1396-10-09,2017-12-30,1696,ولانا,VLNP
1396-10-10,2017-12-31,1865,ولانا,VLNP
1396-10-11,2018-01-01,2051,ولانا,VLNP
1396-10-12,2018-01-02,2052,ولانا,VLNP
1396-10-13,2018-01-03,2392,ولانا,VLNP
1396-10-16,2018-01-06,2368,ولانا,VLNP
1396-10-17,2018-01-07,2188,ولانا,VLNP
1396-10-18,2018-01-08,2043,ولانا,VLNP
1396-10-19,2018-01-09,2252,ولانا,VLNP
1396-10-20,2018-01-10,2165,ولانا,VLNP
1396-10-23,2018-01-13,2270,ولانا,VLNP
1396-10-24,2018-01-14,2241,ولانا,VLNP
1396-10-25,2018-01-15,2487,ولانا,VLNP
1396-10-26,2018-01-16,2457,ولانا,VLNP
1396-10-27,2018-01-17,2231,ولانا,VLNP
1396-10-30,2018-01-20,2172,ولانا,VLNP
1396-11-01,2018-01-21,2082,ولانا,VLNP
1396-11-02,2018-01-22,2096,ولانا,VLNP
1396-11-03,2018-01-23,1973,ولانا,VLNP
1396-11-04,2018-01-24,2043,ولانا,VLNP
1396-11-07,2018-01-27,2041,ولانا,VLNP
1396-11-08,2018-01-28,2072,ولانا,VLNP
1396-11-09,2018-01-29,2123,ولانا,VLNP
1396-11-10,2018-01-30,2096,ولانا,VLNP
1396-11-11,2018-01-31,2023,ولانا,VLNP
1396-11-14,2018-02-03,2248,ولانا,VLNP
1396-11-15,2018-02-04,2436,ولانا,VLNP
1396-11-16,2018-02-05,2674,ولانا,VLNP
1396-11-17,2018-02-06,2931,ولانا,VLNP
1396-11-18,2018-02-07,2958,ولانا,VLNP
1396-11-21,2018-02-10,2763,ولانا,VLNP
1396-11-23,2018-02-12,2664,ولانا,VLNP
1396-11-24,2018-02-13,2628,ولانا,VLNP
1396-11-25,2018-02-14,2523,ولانا,VLNP
1396-11-28,2018-02-17,2531,ولانا,VLNP
1396-11-29,2018-02-18,2487,ولانا,VLNP
1396-11-30,2018-02-19,2284,ولانا,VLNP
1396-12-02,2018-02-21,2260,ولانا,VLNP
1396-12-05,2018-02-24,2164,ولانا,VLNP
1396-12-06,2018-02-25,2270,ولانا,VLNP
1396-12-07,2018-02-26,2224,ولانا,VLNP
1396-12-08,2018-02-27,2092,ولانا,VLNP
1396-12-22,2018-03-13,2229,ولانا,VLNP
1396-12-23,2018-03-14,2267,ولانا,VLNP
1396-12-26,2018-03-17,2171,ولانا,VLNP
1396-12-27,2018-03-18,2250,ولانا,VLNP
1396-12-28,2018-03-19,2244,ولانا,VLNP
1397-01-05,2018-03-25,2220,ولانا,VLNP
1397-01-06,2018-03-26,2258,ولانا,VLNP
1397-01-07,2018-03-27,2210,ولانا,VLNP
1397-01-08,2018-03-28,2225,ولانا,VLNP
1397-01-14,2018-04-03,2422,ولانا,VLNP
1397-01-15,2018-04-04,2427,ولانا,VLNP
1397-01-18,2018-04-07,2319,ولانا,VLNP
1397-01-19,2018-04-08,2210,ولانا,VLNP
