J-Date,Date,Adj Close,Ticker,Ticker(4)
1400-03-26,2021-06-16,1810,ومدیر,VMDR
1400-03-29,2021-06-19,1901,ومدیر,VMDR
1400-03-30,2021-06-20,1964,ومدیر,VMDR
1400-03-31,2021-06-21,2062,ومدیر,VMDR
1400-04-01,2021-06-22,2165,ومدیر,VMDR
1400-04-02,2021-06-23,2273,ومدیر,VMDR
1400-04-05,2021-06-26,2386,ومدیر,VMDR
1400-04-06,2021-06-27,2505,ومدیر,VMDR
1400-04-07,2021-06-28,2630,ومدیر,VMDR
1400-04-08,2021-06-29,2661,ومدیر,VMDR
1400-04-09,2021-06-30,2587,ومدیر,VMDR
1400-04-12,2021-07-03,2488,ومدیر,VMDR
1400-04-13,2021-07-04,2471,ومدیر,VMDR
1400-04-14,2021-07-05,2573,ومدیر,VMDR
1400-04-15,2021-07-06,2690,ومدیر,VMDR
1400-04-16,2021-07-07,2713,ومدیر,VMDR
1400-04-20,2021-07-11,2773,ومدیر,VMDR
1400-04-21,2021-07-12,2699,ومدیر,VMDR
1400-04-22,2021-07-13,2640,ومدیر,VMDR
1400-04-23,2021-07-14,2677,ومدیر,VMDR
1400-04-26,2021-07-17,2643,ومدیر,VMDR
1400-04-27,2021-07-18,2555,ومدیر,VMDR
1400-04-28,2021-07-19,2582,ومدیر,VMDR
1400-05-04,2021-07-26,2572,ومدیر,VMDR
1400-05-05,2021-07-27,2476,ومدیر,VMDR
1400-05-06,2021-07-28,2500,ومدیر,VMDR
1400-05-09,2021-07-31,2607,ومدیر,VMDR
1400-05-10,2021-08-01,2580,ومدیر,VMDR
1400-05-11,2021-08-02,2566,ومدیر,VMDR
1400-05-12,2021-08-03,2574,ومدیر,VMDR
1400-05-13,2021-08-04,2652,ومدیر,VMDR
1400-05-16,2021-08-07,2740,ومدیر,VMDR
1400-05-17,2021-08-08,2817,ومدیر,VMDR
1400-05-18,2021-08-09,2929,ومدیر,VMDR
1400-05-19,2021-08-10,2901,ومدیر,VMDR
1400-05-20,2021-08-11,2906,ومدیر,VMDR
1400-05-23,2021-08-14,2967,ومدیر,VMDR
1400-05-24,2021-08-15,3073,ومدیر,VMDR
1400-05-31,2021-08-22,3216,ومدیر,VMDR
1400-06-01,2021-08-23,3373,ومدیر,VMDR
1400-06-02,2021-08-24,3391,ومدیر,VMDR
1400-06-03,2021-08-25,3367,ومدیر,VMDR
1400-06-06,2021-08-28,3506,ومدیر,VMDR
1400-06-07,2021-08-29,3397,ومدیر,VMDR
1400-06-08,2021-08-30,3379,ومدیر,VMDR
1400-06-09,2021-08-31,3222,ومدیر,VMDR
1400-06-10,2021-09-01,3373,ومدیر,VMDR
1400-06-13,2021-09-04,3379,ومدیر,VMDR
1400-06-14,2021-09-05,3306,ومدیر,VMDR
1400-06-15,2021-09-06,3203,ومدیر,VMDR
1400-06-16,2021-09-07,3179,ومدیر,VMDR
1400-06-17,2021-09-08,3216,ومدیر,VMDR
1400-06-20,2021-09-11,3246,ومدیر,VMDR
1400-06-21,2021-09-12,3161,ومدیر,VMDR
1400-06-22,2021-09-13,3143,ومدیر,VMDR
1400-06-23,2021-09-14,3246,ومدیر,VMDR
1400-06-24,2021-09-15,3258,ومدیر,VMDR
1400-06-27,2021-09-18,3107,ومدیر,VMDR
1400-06-28,2021-09-19,3088,ومدیر,VMDR
1400-06-29,2021-09-20,3028,ومدیر,VMDR
1400-06-30,2021-09-21,2913,ومدیر,VMDR
1400-06-31,2021-09-22,2919,ومدیر,VMDR
1400-07-03,2021-09-25,2995,ومدیر,VMDR
1400-07-04,2021-09-26,2956,ومدیر,VMDR
1400-07-06,2021-09-28,2937,ومدیر,VMDR
1400-07-07,2021-09-29,3045,ومدیر,VMDR
1400-07-10,2021-10-02,3144,ومدیر,VMDR
1400-07-11,2021-10-03,3040,ومدیر,VMDR
1400-07-12,2021-10-04,3028,ومدیر,VMDR
1400-07-14,2021-10-06,2972,ومدیر,VMDR
1400-07-17,2021-10-09,2876,ومدیر,VMDR
1400-07-20,2021-10-12,2767,ومدیر,VMDR
1400-07-21,2021-10-13,2669,ومدیر,VMDR
1400-07-24,2021-10-16,2785,ومدیر,VMDR
1400-07-25,2021-10-17,2725,ومدیر,VMDR
1400-07-26,2021-10-18,2688,ومدیر,VMDR
1400-07-27,2021-10-19,2725,ومدیر,VMDR
1400-07-28,2021-10-20,2718,ومدیر,VMDR
1400-08-01,2021-10-23,2614,ومدیر,VMDR
1400-08-03,2021-10-25,2622,ومدیر,VMDR
1400-08-04,2021-10-26,2580,ومدیر,VMDR
1400-08-05,2021-10-27,2730,ومدیر,VMDR
1400-08-08,2021-10-30,2604,ومدیر,VMDR
1400-08-09,2021-10-31,2495,ومدیر,VMDR
1400-08-10,2021-11-01,2595,ومدیر,VMDR
1400-08-11,2021-11-02,2658,ومدیر,VMDR
1400-08-12,2021-11-03,2767,ومدیر,VMDR
1400-08-15,2021-11-06,2846,ومدیر,VMDR
1400-08-16,2021-11-07,2726,ومدیر,VMDR
1400-08-17,2021-11-08,2689,ومدیر,VMDR
1400-08-18,2021-11-09,2686,ومدیر,VMDR
1400-08-19,2021-11-10,2755,ومدیر,VMDR
1400-08-22,2021-11-13,2666,ومدیر,VMDR
1400-08-23,2021-11-14,2716,ومدیر,VMDR
1400-08-24,2021-11-15,2654,ومدیر,VMDR
1400-08-25,2021-11-16,2704,ومدیر,VMDR
1400-08-26,2021-11-17,2689,ومدیر,VMDR
1400-08-29,2021-11-20,2657,ومدیر,VMDR
1400-08-30,2021-11-21,2651,ومدیر,VMDR
1400-09-01,2021-11-22,2676,ومدیر,VMDR
1400-09-02,2021-11-23,2682,ومدیر,VMDR
1400-09-03,2021-11-24,2658,ومدیر,VMDR
1400-09-06,2021-11-27,2598,ومدیر,VMDR
1400-09-07,2021-11-28,2624,ومدیر,VMDR
1400-09-08,2021-11-29,2607,ومدیر,VMDR
1400-09-09,2021-11-30,2595,ومدیر,VMDR
1400-09-10,2021-12-01,2543,ومدیر,VMDR
1400-09-13,2021-12-04,2549,ومدیر,VMDR
1400-09-14,2021-12-05,2560,ومدیر,VMDR
1400-09-15,2021-12-06,2563,ومدیر,VMDR
1400-09-16,2021-12-07,2586,ومدیر,VMDR
1400-09-17,2021-12-08,2689,ومدیر,VMDR
1400-09-20,2021-12-11,2641,ومدیر,VMDR
1400-09-21,2021-12-12,2603,ومدیر,VMDR
1400-09-22,2021-12-13,2583,ومدیر,VMDR
1400-09-23,2021-12-14,2597,ومدیر,VMDR
1400-09-24,2021-12-15,2628,ومدیر,VMDR
1400-09-27,2021-12-18,2735,ومدیر,VMDR
1400-09-28,2021-12-19,2691,ومدیر,VMDR
1400-09-29,2021-12-20,2689,ومدیر,VMDR
1400-09-30,2021-12-21,2755,ومدیر,VMDR
1400-10-01,2021-12-22,2870,ومدیر,VMDR
1400-10-04,2021-12-25,2825,ومدیر,VMDR
1400-10-05,2021-12-26,2819,ومدیر,VMDR
1400-10-06,2021-12-27,2846,ومدیر,VMDR
1400-10-07,2021-12-28,2931,ومدیر,VMDR
1400-10-08,2021-12-29,2887,ومدیر,VMDR
1400-10-11,2022-01-01,2861,ومدیر,VMDR
1400-10-12,2022-01-02,2822,ومدیر,VMDR
1400-10-13,2022-01-03,2798,ومدیر,VMDR
1400-10-14,2022-01-04,2767,ومدیر,VMDR
1400-10-15,2022-01-05,2739,ومدیر,VMDR
1400-10-18,2022-01-08,2658,ومدیر,VMDR
1400-10-19,2022-01-09,2640,ومدیر,VMDR
1400-10-20,2022-01-10,2652,ومدیر,VMDR
1400-10-21,2022-01-11,2706,ومدیر,VMDR
