J-Date,Date,Adj Close,Ticker,Ticker(4)
1401-03-11,2022-06-01,6080,کایزد,YAFZ
1401-03-16,2022-06-06,7488,کایزد,YAFZ
1401-03-17,2022-06-07,7712,کایزد,YAFZ
1401-03-18,2022-06-08,8095,کایزد,YAFZ
1401-03-21,2022-06-11,7964,کایزد,YAFZ
1401-03-22,2022-06-12,7814,کایزد,YAFZ
1401-03-23,2022-06-13,7518,کایزد,YAFZ
1401-03-24,2022-06-14,7819,کایزد,YAFZ
1401-03-25,2022-06-15,8193,کایزد,YAFZ
1401-03-28,2022-06-18,7741,کایزد,YAFZ
1401-03-29,2022-06-19,7819,کایزد,YAFZ
1401-03-30,2022-06-20,7430,کایزد,YAFZ
1401-03-31,2022-06-21,7542,کایزد,YAFZ
1401-04-01,2022-06-22,7309,کایزد,YAFZ
1401-04-04,2022-06-25,7250,کایزد,YAFZ
1401-04-05,2022-06-26,7289,کایزد,YAFZ
1401-04-06,2022-06-27,7187,کایزد,YAFZ
1401-04-07,2022-06-28,7416,کایزد,YAFZ
1401-04-08,2022-06-29,7770,کایزد,YAFZ
1401-04-11,2022-07-02,7857,کایزد,YAFZ
1401-04-12,2022-07-03,7857,کایزد,YAFZ
1401-04-13,2022-07-04,7770,کایزد,YAFZ
1401-04-14,2022-07-05,7479,کایزد,YAFZ
1401-04-15,2022-07-06,7445,کایزد,YAFZ
1401-04-18,2022-07-09,7469,کایزد,YAFZ
1401-04-20,2022-07-11,7377,کایزد,YAFZ
1401-04-21,2022-07-12,7289,کایزد,YAFZ
1401-04-28,2022-07-19,6956,کایزد,YAFZ
1401-04-29,2022-07-20,7157,کایزد,YAFZ
1401-05-01,2022-07-23,7059,کایزد,YAFZ
1401-05-02,2022-07-24,6799,کایزد,YAFZ
1401-05-03,2022-07-25,6519,کایزد,YAFZ
1401-05-04,2022-07-26,6789,کایزد,YAFZ
1401-05-05,2022-07-27,6627,کایزد,YAFZ
1401-05-08,2022-07-30,6490,کایزد,YAFZ
1401-05-09,2022-07-31,6250,کایزد,YAFZ
1401-05-10,2022-08-01,6613,کایزد,YAFZ
1401-05-11,2022-08-02,6745,کایزد,YAFZ
1401-05-12,2022-08-03,7073,کایزد,YAFZ
1401-05-15,2022-08-06,7426,کایزد,YAFZ
1401-05-18,2022-08-09,7794,کایزد,YAFZ
1401-05-19,2022-08-10,8181,کایزد,YAFZ
1401-05-22,2022-08-13,8064,کایزد,YAFZ
1401-05-23,2022-08-14,7931,کایزد,YAFZ
1401-05-24,2022-08-15,7843,کایزد,YAFZ
1401-05-25,2022-08-16,7637,کایزد,YAFZ
1401-05-26,2022-08-17,7853,کایزد,YAFZ
1401-05-29,2022-08-20,7456,کایزد,YAFZ
1401-05-30,2022-08-21,7421,کایزد,YAFZ
1401-05-31,2022-08-22,7078,کایزد,YAFZ
1401-06-01,2022-08-23,7407,کایزد,YAFZ
1401-06-02,2022-08-24,7382,کایزد,YAFZ
1401-06-05,2022-08-27,7049,کایزد,YAFZ
1401-06-06,2022-08-28,7466,کایزد,YAFZ
1401-06-07,2022-08-29,7122,کایزد,YAFZ
1401-06-08,2022-08-30,7064,کایزد,YAFZ
1401-06-09,2022-08-31,7157,کایزد,YAFZ
