J-Date,Date,Adj Close,Ticker,Ticker(4)
1399-05-08,2020-07-29,3449,غزر,ZARM
1399-05-11,2020-08-01,3621,غزر,ZARM
1399-05-12,2020-08-02,3802,غزر,ZARM
1399-05-13,2020-08-03,3992,غزر,ZARM
1399-05-14,2020-08-04,4192,غزر,ZARM
1399-05-15,2020-08-05,4401,غزر,ZARM
1399-05-19,2020-08-09,4620,غزر,ZARM
1399-05-20,2020-08-10,4851,غزر,ZARM
1399-05-21,2020-08-11,5093,غزر,ZARM
1399-05-22,2020-08-12,5348,غزر,ZARM
1399-05-25,2020-08-15,5615,غزر,ZARM
1399-05-26,2020-08-16,5895,غزر,ZARM
1399-05-27,2020-08-17,6189,غزر,ZARM
1399-05-28,2020-08-18,6498,غزر,ZARM
1399-05-29,2020-08-19,6820,غزر,ZARM
1399-06-01,2020-08-22,7099,غزر,ZARM
1399-06-11,2020-09-01,6750,غزر,ZARM
1399-06-12,2020-09-02,6712,غزر,ZARM
1399-06-15,2020-09-05,6711,غزر,ZARM
1399-06-16,2020-09-06,6170,غزر,ZARM
1399-06-17,2020-09-07,6097,غزر,ZARM
1399-06-18,2020-09-08,5792,غزر,ZARM
1399-06-19,2020-09-09,6242,غزر,ZARM
1399-06-22,2020-09-12,6359,غزر,ZARM
1399-06-23,2020-09-13,6254,غزر,ZARM
1399-06-24,2020-09-14,6307,غزر,ZARM
1399-06-25,2020-09-15,6559,غزر,ZARM
1399-06-26,2020-09-16,6294,غزر,ZARM
1399-06-29,2020-09-19,6049,غزر,ZARM
1399-06-30,2020-09-20,5747,غزر,ZARM
1399-06-31,2020-09-21,5641,غزر,ZARM
1399-07-01,2020-09-22,5585,غزر,ZARM
1399-07-02,2020-09-23,5492,غزر,ZARM
1399-07-05,2020-09-26,5358,غزر,ZARM
1399-07-06,2020-09-27,5310,غزر,ZARM
1399-07-07,2020-09-28,5197,غزر,ZARM
1399-07-08,2020-09-29,5185,غزر,ZARM
1399-07-09,2020-09-30,5154,غزر,ZARM
1399-07-12,2020-10-03,5349,غزر,ZARM
1399-07-13,2020-10-04,4947,غزر,ZARM
1399-07-14,2020-10-05,4729,غزر,ZARM
1399-07-15,2020-10-06,5067,غزر,ZARM
1399-07-16,2020-10-07,5017,غزر,ZARM
1399-07-19,2020-10-10,5230,غزر,ZARM
1399-07-20,2020-10-11,5070,غزر,ZARM
1399-07-21,2020-10-12,4982,غزر,ZARM
1399-07-22,2020-10-13,4747,غزر,ZARM
1399-07-23,2020-10-14,4523,غزر,ZARM
1399-07-27,2020-10-18,4306,غزر,ZARM
1399-07-28,2020-10-19,4136,غزر,ZARM
1399-07-29,2020-10-20,4275,غزر,ZARM
1399-07-30,2020-10-21,3992,غزر,ZARM
1399-08-03,2020-10-24,3888,غزر,ZARM
1399-08-05,2020-10-26,4151,غزر,ZARM
1399-08-06,2020-10-27,4255,غزر,ZARM
1399-08-07,2020-10-28,4468,غزر,ZARM
1399-08-10,2020-10-31,4511,غزر,ZARM
1399-08-11,2020-11-01,4361,غزر,ZARM
1399-08-12,2020-11-02,4420,غزر,ZARM
1399-08-14,2020-11-04,4346,غزر,ZARM
1399-08-17,2020-11-07,4039,غزر,ZARM
1399-08-18,2020-11-08,3878,غزر,ZARM
1399-08-19,2020-11-09,4212,غزر,ZARM
1399-08-20,2020-11-10,4175,غزر,ZARM
1399-08-21,2020-11-11,4182,غزر,ZARM
1399-08-24,2020-11-14,4385,غزر,ZARM
1399-08-25,2020-11-15,4150,غزر,ZARM
1399-08-26,2020-11-16,4431,غزر,ZARM
1399-08-27,2020-11-17,4533,غزر,ZARM
1399-08-28,2020-11-18,4567,غزر,ZARM
1399-09-01,2020-11-21,4282,غزر,ZARM
1399-09-02,2020-11-22,4152,غزر,ZARM
1399-09-03,2020-11-23,4165,غزر,ZARM
1399-09-04,2020-11-24,4379,غزر,ZARM
1399-09-05,2020-11-25,4556,غزر,ZARM
1399-09-08,2020-11-28,4599,غزر,ZARM
1399-09-09,2020-11-29,4805,غزر,ZARM
1399-09-10,2020-11-30,4787,غزر,ZARM
1399-09-11,2020-12-01,4690,غزر,ZARM
1399-09-12,2020-12-02,4864,غزر,ZARM
1399-09-15,2020-12-05,5044,غزر,ZARM
1399-09-16,2020-12-06,5220,غزر,ZARM
1399-09-17,2020-12-07,5274,غزر,ZARM
1399-09-18,2020-12-08,5404,غزر,ZARM
1399-09-19,2020-12-09,5430,غزر,ZARM
1399-09-22,2020-12-12,5448,غزر,ZARM
1399-09-23,2020-12-13,5134,غزر,ZARM
1399-09-24,2020-12-14,5011,غزر,ZARM
1399-09-25,2020-12-15,4811,غزر,ZARM
1399-09-26,2020-12-16,4710,غزر,ZARM
1399-09-29,2020-12-19,4956,غزر,ZARM
1399-09-30,2020-12-20,5136,غزر,ZARM
1399-10-01,2020-12-21,5230,غزر,ZARM
1399-10-02,2020-12-22,5030,غزر,ZARM
1399-10-03,2020-12-23,5159,غزر,ZARM
1399-10-06,2020-12-26,4942,غزر,ZARM
1399-10-07,2020-12-27,4742,غزر,ZARM
1399-10-08,2020-12-28,4563,غزر,ZARM
1399-10-09,2020-12-29,4778,غزر,ZARM
1399-10-10,2020-12-30,4524,غزر,ZARM
1399-10-13,2021-01-02,4403,غزر,ZARM
1399-10-14,2021-01-03,4236,غزر,ZARM
1399-10-15,2021-01-04,4487,غزر,ZARM
1399-10-16,2021-01-05,4576,غزر,ZARM
1399-10-29,2021-01-18,3947,غزر,ZARM
1399-10-30,2021-01-19,4166,غزر,ZARM
1399-11-01,2021-01-20,4315,غزر,ZARM
1399-11-04,2021-01-23,4529,غزر,ZARM
1399-11-05,2021-01-24,4477,غزر,ZARM
1399-11-06,2021-01-25,4686,غزر,ZARM
1399-11-07,2021-01-26,4798,غزر,ZARM
1399-11-08,2021-01-27,5016,غزر,ZARM
1399-11-11,2021-01-30,5035,غزر,ZARM
1399-11-12,2021-01-31,4738,غزر,ZARM
1399-11-13,2021-02-01,5045,غزر,ZARM
1399-11-14,2021-02-02,5251,غزر,ZARM
1399-11-15,2021-02-03,5247,غزر,ZARM
1399-11-18,2021-02-06,5003,غزر,ZARM
1399-11-19,2021-02-07,5087,غزر,ZARM
1399-11-20,2021-02-08,4860,غزر,ZARM
1399-11-21,2021-02-09,4646,غزر,ZARM
1399-11-25,2021-02-13,4965,غزر,ZARM
1399-11-26,2021-02-14,4965,غزر,ZARM
1399-11-27,2021-02-15,4883,غزر,ZARM
1399-11-28,2021-02-16,4789,غزر,ZARM
1399-11-29,2021-02-17,4738,غزر,ZARM
1399-12-02,2021-02-20,4695,غزر,ZARM
1399-12-03,2021-02-21,4677,غزر,ZARM
1399-12-04,2021-02-22,4676,غزر,ZARM
1399-12-05,2021-02-23,4674,غزر,ZARM
1399-12-06,2021-02-24,4662,غزر,ZARM
1399-12-09,2021-02-27,4571,غزر,ZARM
1399-12-10,2021-02-28,4569,غزر,ZARM
1399-12-11,2021-03-01,4567,غزر,ZARM
1399-12-12,2021-03-02,4562,غزر,ZARM
1399-12-13,2021-03-03,4554,غزر,ZARM
1399-12-16,2021-03-06,4547,غزر,ZARM
1399-12-17,2021-03-07,4541,غزر,ZARM
1399-12-18,2021-03-08,4536,غزر,ZARM
1399-12-19,2021-03-09,4527,غزر,ZARM
1399-12-20,2021-03-10,4522,غزر,ZARM
1399-12-23,2021-03-13,4519,غزر,ZARM
1399-12-24,2021-03-14,4513,غزر,ZARM
1399-12-25,2021-03-15,4874,غزر,ZARM
1399-12-26,2021-03-16,4845,غزر,ZARM
1399-12-27,2021-03-17,4728,غزر,ZARM
1400-01-07,2021-03-27,4656,غزر,ZARM
1400-01-08,2021-03-28,4632,غزر,ZARM
1400-01-10,2021-03-30,4622,غزر,ZARM
1400-01-11,2021-03-31,4613,غزر,ZARM
1400-01-14,2021-04-03,4606,غزر,ZARM
1400-01-15,2021-04-04,4601,غزر,ZARM
1400-01-16,2021-04-05,4599,غزر,ZARM
1400-01-17,2021-04-06,4595,غزر,ZARM
1400-01-18,2021-04-07,4592,غزر,ZARM
1400-01-21,2021-04-10,4590,غزر,ZARM
1400-01-22,2021-04-11,4587,غزر,ZARM
1400-01-23,2021-04-12,4583,غزر,ZARM
1400-01-24,2021-04-13,4580,غزر,ZARM
1400-01-25,2021-04-14,4534,غزر,ZARM
1400-01-28,2021-04-17,4531,غزر,ZARM
1400-01-29,2021-04-18,4527,غزر,ZARM
1400-01-30,2021-04-19,4526,غزر,ZARM
1400-01-31,2021-04-20,4524,غزر,ZARM
1400-02-01,2021-04-21,4475,غزر,ZARM
1400-02-04,2021-04-24,4472,غزر,ZARM
1400-02-05,2021-04-25,4465,غزر,ZARM
1400-02-06,2021-04-26,4465,غزر,ZARM
1400-02-07,2021-04-27,4459,غزر,ZARM
1400-02-08,2021-04-28,4456,غزر,ZARM
1400-02-11,2021-05-01,4315,غزر,ZARM
1400-02-12,2021-05-02,4343,غزر,ZARM
1400-02-13,2021-05-03,4339,غزر,ZARM
1400-02-15,2021-05-05,4339,غزر,ZARM
1400-02-18,2021-05-08,4339,غزر,ZARM
1400-02-19,2021-05-09,4339,غزر,ZARM
1400-02-20,2021-05-10,4339,غزر,ZARM
1400-02-21,2021-05-11,4337,غزر,ZARM
1400-02-22,2021-05-12,4336,غزر,ZARM
1400-02-25,2021-05-15,4245,غزر,ZARM
1400-02-26,2021-05-16,4011,غزر,ZARM
1400-02-27,2021-05-17,4114,غزر,ZARM
1400-02-28,2021-05-18,4114,غزر,ZARM
1400-02-29,2021-05-19,4032,غزر,ZARM
1400-03-01,2021-05-22,4030,غزر,ZARM
1400-03-02,2021-05-23,4030,غزر,ZARM
1400-03-03,2021-05-24,4030,غزر,ZARM
1400-03-04,2021-05-25,4029,غزر,ZARM
1400-03-05,2021-05-26,4027,غزر,ZARM
1400-03-08,2021-05-29,4025,غزر,ZARM
1400-03-09,2021-05-30,4015,غزر,ZARM
1400-03-10,2021-05-31,4079,غزر,ZARM
1400-03-11,2021-06-01,3957,غزر,ZARM
1400-03-12,2021-06-02,4184,غزر,ZARM
1400-03-17,2021-06-07,4165,غزر,ZARM
1400-03-18,2021-06-08,3968,غزر,ZARM
1400-03-19,2021-06-09,4062,غزر,ZARM
1400-03-22,2021-06-12,3987,غزر,ZARM
1400-03-23,2021-06-13,3877,غزر,ZARM
1400-03-24,2021-06-14,3931,غزر,ZARM
1400-03-25,2021-06-15,3865,غزر,ZARM
1400-03-26,2021-06-16,4048,غزر,ZARM
1400-03-29,2021-06-19,4078,غزر,ZARM
1400-03-30,2021-06-20,4044,غزر,ZARM
1400-03-31,2021-06-21,4011,غزر,ZARM
1400-04-01,2021-06-22,4196,غزر,ZARM
1400-04-02,2021-06-23,4241,غزر,ZARM
1400-04-05,2021-06-26,4158,غزر,ZARM
1400-04-06,2021-06-27,4135,غزر,ZARM
1400-04-07,2021-06-28,4017,غزر,ZARM
1400-04-08,2021-06-29,4072,غزر,ZARM
1400-04-09,2021-06-30,4067,غزر,ZARM
1400-04-12,2021-07-03,3983,غزر,ZARM
1400-04-13,2021-07-04,4139,غزر,ZARM
1400-04-14,2021-07-05,4149,غزر,ZARM
1400-04-19,2021-07-10,4174,غزر,ZARM
1400-04-20,2021-07-11,4168,غزر,ZARM
1400-04-21,2021-07-12,4279,غزر,ZARM
1400-04-22,2021-07-13,4211,غزر,ZARM
1400-04-23,2021-07-14,4128,غزر,ZARM
1400-04-26,2021-07-17,4022,غزر,ZARM
1400-04-27,2021-07-18,4057,غزر,ZARM
1400-04-28,2021-07-19,4174,غزر,ZARM
1400-05-04,2021-07-26,4168,غزر,ZARM
1400-05-05,2021-07-27,3973,غزر,ZARM
1400-05-06,2021-07-28,4049,غزر,ZARM
1400-05-09,2021-07-31,4020,غزر,ZARM
1400-05-10,2021-08-01,3959,غزر,ZARM
1400-05-11,2021-08-02,3918,غزر,ZARM
1400-05-12,2021-08-03,4054,غزر,ZARM
1400-05-13,2021-08-04,4017,غزر,ZARM
1400-05-16,2021-08-07,3931,غزر,ZARM
1400-05-17,2021-08-08,3964,غزر,ZARM
1400-05-18,2021-08-09,4159,غزر,ZARM
1400-05-19,2021-08-10,4348,غزر,ZARM
1400-05-20,2021-08-11,4300,غزر,ZARM
1400-05-23,2021-08-14,4154,غزر,ZARM
1400-05-24,2021-08-15,4253,غزر,ZARM
1400-05-31,2021-08-22,4214,غزر,ZARM
1400-06-01,2021-08-23,4452,غزر,ZARM
1400-06-02,2021-08-24,4609,غزر,ZARM
1400-06-03,2021-08-25,4832,غزر,ZARM
1400-06-06,2021-08-28,5030,غزر,ZARM
1400-06-07,2021-08-29,4764,غزر,ZARM
1400-06-08,2021-08-30,4674,غزر,ZARM
1400-06-09,2021-08-31,4649,غزر,ZARM
1400-06-10,2021-09-01,4838,غزر,ZARM
1400-06-13,2021-09-04,4993,غزر,ZARM
1400-06-14,2021-09-05,5225,غزر,ZARM
1400-06-15,2021-09-06,5283,غزر,ZARM
1400-06-16,2021-09-07,5121,غزر,ZARM
1400-06-17,2021-09-08,5059,غزر,ZARM
1400-06-20,2021-09-11,5190,غزر,ZARM
1400-06-21,2021-09-12,4920,غزر,ZARM
1400-06-22,2021-09-13,4985,غزر,ZARM
1400-06-23,2021-09-14,5096,غزر,ZARM
1400-06-24,2021-09-15,4941,غزر,ZARM
1400-06-27,2021-09-18,4711,غزر,ZARM
1400-06-28,2021-09-19,4767,غزر,ZARM
1400-06-29,2021-09-20,4920,غزر,ZARM
1400-06-30,2021-09-21,5001,غزر,ZARM
1400-07-11,2021-10-03,5642,غزر,ZARM
1400-07-12,2021-10-04,5769,غزر,ZARM
1400-07-14,2021-10-06,5470,غزر,ZARM
1400-07-17,2021-10-09,5223,غزر,ZARM
1400-07-18,2021-10-10,5038,غزر,ZARM
1400-07-19,2021-10-11,5157,غزر,ZARM
1400-07-20,2021-10-12,4880,غزر,ZARM
1400-07-21,2021-10-13,4902,غزر,ZARM
1400-07-24,2021-10-16,4994,غزر,ZARM
1400-07-25,2021-10-17,4858,غزر,ZARM
1400-07-26,2021-10-18,5021,غزر,ZARM
1400-07-27,2021-10-19,5078,غزر,ZARM
1400-07-28,2021-10-20,5175,غزر,ZARM
1400-08-01,2021-10-23,4915,غزر,ZARM
1400-08-03,2021-10-25,4902,غزر,ZARM
1400-08-04,2021-10-26,4906,غزر,ZARM
1400-08-05,2021-10-27,4734,غزر,ZARM
1400-08-08,2021-10-30,4845,غزر,ZARM
1400-08-09,2021-10-31,4457,غزر,ZARM
1400-08-10,2021-11-01,4730,غزر,ZARM
1400-08-11,2021-11-02,4695,غزر,ZARM
1400-08-12,2021-11-03,4721,غزر,ZARM
1400-08-15,2021-11-06,4845,غزر,ZARM
1400-08-16,2021-11-07,4673,غزر,ZARM
1400-08-17,2021-11-08,4519,غزر,ZARM
1400-08-18,2021-11-09,4439,غزر,ZARM
1400-08-19,2021-11-10,4708,غزر,ZARM
1400-08-22,2021-11-13,4708,غزر,ZARM
1400-08-23,2021-11-14,4633,غزر,ZARM
1400-08-24,2021-11-15,4479,غزر,ZARM
1400-08-25,2021-11-16,4488,غزر,ZARM
1400-08-26,2021-11-17,4501,غزر,ZARM
1400-08-29,2021-11-20,4470,غزر,ZARM
1400-08-30,2021-11-21,4373,غزر,ZARM
1400-09-01,2021-11-22,4580,غزر,ZARM
1400-09-02,2021-11-23,4567,غزر,ZARM
1400-09-03,2021-11-24,4615,غزر,ZARM
1400-09-06,2021-11-27,4519,غزر,ZARM
1400-09-07,2021-11-28,4549,غزر,ZARM
1400-09-08,2021-11-29,4598,غزر,ZARM
1400-09-09,2021-11-30,4624,غزر,ZARM
1400-09-10,2021-12-01,4549,غزر,ZARM
1400-09-13,2021-12-04,4272,غزر,ZARM
1400-09-14,2021-12-05,4479,غزر,ZARM
1400-09-15,2021-12-06,4514,غزر,ZARM
1400-09-16,2021-12-07,4514,غزر,ZARM
1400-09-17,2021-12-08,4624,غزر,ZARM
1400-09-20,2021-12-11,4417,غزر,ZARM
1400-09-21,2021-12-12,4479,غزر,ZARM
1400-09-22,2021-12-13,4184,غزر,ZARM
1400-09-23,2021-12-14,4118,غزر,ZARM
1400-09-24,2021-12-15,4166,غزر,ZARM
1400-09-27,2021-12-18,4197,غزر,ZARM
1400-09-28,2021-12-19,3972,غزر,ZARM
1400-09-29,2021-12-20,4043,غزر,ZARM
1400-09-30,2021-12-21,4210,غزر,ZARM
1400-10-01,2021-12-22,4378,غزر,ZARM
1400-10-04,2021-12-25,4312,غزر,ZARM
1400-10-05,2021-12-26,4197,غزر,ZARM
1400-10-06,2021-12-27,4294,غزر,ZARM
1400-10-07,2021-12-28,4228,غزر,ZARM
1400-10-08,2021-12-29,4091,غزر,ZARM
1400-10-11,2022-01-01,4047,غزر,ZARM
1400-10-12,2022-01-02,4285,غزر,ZARM
1400-10-13,2022-01-03,4228,غزر,ZARM
1400-10-14,2022-01-04,4074,غزر,ZARM
1400-10-15,2022-01-05,4096,غزر,ZARM
1400-10-18,2022-01-08,3986,غزر,ZARM
1400-10-19,2022-01-09,3898,غزر,ZARM
1400-10-20,2022-01-10,3937,غزر,ZARM
1400-10-21,2022-01-11,3964,غزر,ZARM
1400-10-22,2022-01-12,4025,غزر,ZARM
1400-10-25,2022-01-15,3876,غزر,ZARM
1400-10-26,2022-01-16,3876,غزر,ZARM
1400-10-27,2022-01-17,3792,غزر,ZARM
1400-10-28,2022-01-18,3660,غزر,ZARM
1400-10-29,2022-01-19,3682,غزر,ZARM
1400-11-02,2022-01-22,3484,غزر,ZARM
1400-11-03,2022-01-23,3395,غزر,ZARM
1400-11-04,2022-01-24,3400,غزر,ZARM
1400-11-05,2022-01-25,3263,غزر,ZARM
1400-11-06,2022-01-26,3378,غزر,ZARM
1400-11-09,2022-01-29,3400,غزر,ZARM
1400-11-10,2022-01-30,3285,غزر,ZARM
1400-11-11,2022-01-31,3475,غزر,ZARM
1400-11-12,2022-02-01,3550,غزر,ZARM
