J-Date,Date,Adj Close,Ticker,Ticker(4)
1396-10-27,2018-01-17,240,زشگزا,ZMMZ
1396-10-30,2018-01-20,252,زشگزا,ZMMZ
1396-11-01,2018-01-21,265,زشگزا,ZMMZ
1396-11-02,2018-01-22,278,زشگزا,ZMMZ
1396-11-03,2018-01-23,306,زشگزا,ZMMZ
1396-11-04,2018-01-24,318,زشگزا,ZMMZ
1396-11-07,2018-01-27,320,زشگزا,ZMMZ
1396-11-08,2018-01-28,338,زشگزا,ZMMZ
1396-11-09,2018-01-29,348,زشگزا,ZMMZ
1396-11-10,2018-01-30,364,زشگزا,ZMMZ
1396-11-11,2018-01-31,381,زشگزا,ZMMZ
1396-11-14,2018-02-03,384,زشگزا,ZMMZ
1396-11-15,2018-02-04,373,زشگزا,ZMMZ
1396-11-16,2018-02-05,367,زشگزا,ZMMZ
1396-11-17,2018-02-06,380,زشگزا,ZMMZ
1396-11-18,2018-02-07,396,زشگزا,ZMMZ
1396-11-21,2018-02-10,388,زشگزا,ZMMZ
1396-11-23,2018-02-12,378,زشگزا,ZMMZ
1396-11-24,2018-02-13,369,زشگزا,ZMMZ
1396-11-25,2018-02-14,372,زشگزا,ZMMZ
1396-11-28,2018-02-17,364,زشگزا,ZMMZ
1396-11-29,2018-02-18,354,زشگزا,ZMMZ
1396-11-30,2018-02-19,349,زشگزا,ZMMZ
1396-12-02,2018-02-21,348,زشگزا,ZMMZ
1396-12-05,2018-02-24,338,زشگزا,ZMMZ
1396-12-06,2018-02-25,338,زشگزا,ZMMZ
1396-12-07,2018-02-26,342,زشگزا,ZMMZ
1396-12-08,2018-02-27,338,زشگزا,ZMMZ
1396-12-09,2018-02-28,336,زشگزا,ZMMZ
1396-12-12,2018-03-03,344,زشگزا,ZMMZ
1396-12-13,2018-03-04,338,زشگزا,ZMMZ
1396-12-14,2018-03-05,338,زشگزا,ZMMZ
1396-12-15,2018-03-06,336,زشگزا,ZMMZ
1396-12-16,2018-03-07,336,زشگزا,ZMMZ
1396-12-19,2018-03-10,338,زشگزا,ZMMZ
1396-12-20,2018-03-11,334,زشگزا,ZMMZ
1396-12-21,2018-03-12,328,زشگزا,ZMMZ
1396-12-22,2018-03-13,331,زشگزا,ZMMZ
1396-12-23,2018-03-14,333,زشگزا,ZMMZ
1396-12-26,2018-03-17,342,زشگزا,ZMMZ
1396-12-27,2018-03-18,344,زشگزا,ZMMZ
1396-12-28,2018-03-19,348,زشگزا,ZMMZ
1397-01-05,2018-03-25,341,زشگزا,ZMMZ
1397-01-06,2018-03-26,348,زشگزا,ZMMZ
1397-01-07,2018-03-27,343,زشگزا,ZMMZ
1397-01-08,2018-03-28,346,زشگزا,ZMMZ
1397-01-14,2018-04-03,349,زشگزا,ZMMZ
1397-01-15,2018-04-04,346,زشگزا,ZMMZ
1397-01-18,2018-04-07,334,زشگزا,ZMMZ
1397-01-19,2018-04-08,328,زشگزا,ZMMZ
1397-01-20,2018-04-09,295,زشگزا,ZMMZ
1397-01-21,2018-04-10,303,زشگزا,ZMMZ
1397-01-22,2018-04-11,305,زشگزا,ZMMZ
1397-01-26,2018-04-15,304,زشگزا,ZMMZ
1397-01-27,2018-04-16,303,زشگزا,ZMMZ
1397-01-28,2018-04-17,305,زشگزا,ZMMZ
1397-01-29,2018-04-18,305,زشگزا,ZMMZ
1397-02-01,2018-04-21,301,زشگزا,ZMMZ
1397-02-02,2018-04-22,303,زشگزا,ZMMZ
1397-02-03,2018-04-23,301,زشگزا,ZMMZ
1397-02-04,2018-04-24,295,زشگزا,ZMMZ
1397-02-05,2018-04-25,292,زشگزا,ZMMZ
1397-02-08,2018-04-28,292,زشگزا,ZMMZ
1397-02-09,2018-04-29,289,زشگزا,ZMMZ
1397-02-10,2018-04-30,295,زشگزا,ZMMZ
1397-02-11,2018-05-01,292,زشگزا,ZMMZ
1397-02-15,2018-05-05,294,زشگزا,ZMMZ
1397-02-16,2018-05-06,295,زشگزا,ZMMZ
1397-02-17,2018-05-07,295,زشگزا,ZMMZ
1397-02-18,2018-05-08,302,زشگزا,ZMMZ
1397-02-19,2018-05-09,308,زشگزا,ZMMZ
1397-02-22,2018-05-12,308,زشگزا,ZMMZ
1397-02-23,2018-05-13,313,زشگزا,ZMMZ
1397-02-24,2018-05-14,311,زشگزا,ZMMZ
1397-02-25,2018-05-15,315,زشگزا,ZMMZ
1397-02-26,2018-05-16,320,زشگزا,ZMMZ
1397-02-29,2018-05-19,323,زشگزا,ZMMZ
1397-02-30,2018-05-20,342,زشگزا,ZMMZ
1397-02-31,2018-05-21,333,زشگزا,ZMMZ
1397-03-01,2018-05-22,334,زشگزا,ZMMZ
1397-03-02,2018-05-23,335,زشگزا,ZMMZ
1397-03-05,2018-05-26,329,زشگزا,ZMMZ
1397-03-06,2018-05-27,331,زشگزا,ZMMZ
1397-03-07,2018-05-28,329,زشگزا,ZMMZ
1397-03-08,2018-05-29,328,زشگزا,ZMMZ
1397-03-09,2018-05-30,322,زشگزا,ZMMZ
1397-03-12,2018-06-02,315,زشگزا,ZMMZ
1397-03-13,2018-06-03,315,زشگزا,ZMMZ
1397-03-19,2018-06-09,334,زشگزا,ZMMZ
1397-03-20,2018-06-10,333,زشگزا,ZMMZ
1397-03-21,2018-06-11,321,زشگزا,ZMMZ
1397-03-22,2018-06-12,316,زشگزا,ZMMZ
1397-03-23,2018-06-13,317,زشگزا,ZMMZ
1397-03-27,2018-06-17,328,زشگزا,ZMMZ
1397-03-28,2018-06-18,320,زشگزا,ZMMZ
1397-03-29,2018-06-19,318,زشگزا,ZMMZ
1397-03-30,2018-06-20,321,زشگزا,ZMMZ
1397-04-02,2018-06-23,319,زشگزا,ZMMZ
1397-04-03,2018-06-24,315,زشگزا,ZMMZ
1397-04-04,2018-06-25,302,زشگزا,ZMMZ
1397-04-05,2018-06-26,305,زشگزا,ZMMZ
1397-04-06,2018-06-27,298,زشگزا,ZMMZ
1397-04-09,2018-06-30,301,زشگزا,ZMMZ
1397-04-10,2018-07-01,294,زشگزا,ZMMZ
1397-04-11,2018-07-02,296,زشگزا,ZMMZ
1397-04-12,2018-07-03,300,زشگزا,ZMMZ
1397-04-13,2018-07-04,295,زشگزا,ZMMZ
1397-04-16,2018-07-07,295,زشگزا,ZMMZ
1397-04-17,2018-07-08,287,زشگزا,ZMMZ
1397-04-19,2018-07-10,275,زشگزا,ZMMZ
1397-04-25,2018-07-16,302,زشگزا,ZMMZ
1397-04-26,2018-07-17,317,زشگزا,ZMMZ
1397-04-27,2018-07-18,311,زشگزا,ZMMZ
1397-04-30,2018-07-21,311,زشگزا,ZMMZ
1397-04-31,2018-07-22,316,زشگزا,ZMMZ
1397-05-01,2018-07-23,309,زشگزا,ZMMZ
1397-05-02,2018-07-24,301,زشگزا,ZMMZ
1397-05-03,2018-07-25,300,زشگزا,ZMMZ
1397-05-06,2018-07-28,320,زشگزا,ZMMZ
1397-05-07,2018-07-29,307,زشگزا,ZMMZ
1397-05-08,2018-07-30,299,زشگزا,ZMMZ
1397-05-09,2018-07-31,330,زشگزا,ZMMZ
1397-05-10,2018-08-01,331,زشگزا,ZMMZ
1397-05-13,2018-08-04,310,زشگزا,ZMMZ
1397-05-14,2018-08-05,318,زشگزا,ZMMZ
1397-05-15,2018-08-06,306,زشگزا,ZMMZ
1397-05-16,2018-08-07,304,زشگزا,ZMMZ
1397-05-17,2018-08-08,320,زشگزا,ZMMZ
1397-05-20,2018-08-11,339,زشگزا,ZMMZ
1397-05-21,2018-08-12,326,زشگزا,ZMMZ
1397-05-22,2018-08-13,311,زشگزا,ZMMZ
1397-05-23,2018-08-14,325,زشگزا,ZMMZ
1397-05-24,2018-08-15,318,زشگزا,ZMMZ
1397-05-27,2018-08-18,332,زشگزا,ZMMZ
1397-05-28,2018-08-19,336,زشگزا,ZMMZ
1397-05-29,2018-08-20,346,زشگزا,ZMMZ
1397-05-30,2018-08-21,363,زشگزا,ZMMZ
1397-06-03,2018-08-25,381,زشگزا,ZMMZ
1397-06-04,2018-08-26,400,زشگزا,ZMMZ
1397-06-05,2018-08-27,420,زشگزا,ZMMZ
1397-06-06,2018-08-28,433,زشگزا,ZMMZ
1397-06-07,2018-08-29,433,زشگزا,ZMMZ
1397-06-10,2018-09-01,462,زشگزا,ZMMZ
1397-06-11,2018-09-02,462,زشگزا,ZMMZ
1397-06-12,2018-09-03,469,زشگزا,ZMMZ
1397-06-13,2018-09-04,469,زشگزا,ZMMZ
1397-06-14,2018-09-05,486,زشگزا,ZMMZ
1397-06-17,2018-09-08,534,زشگزا,ZMMZ
1397-06-18,2018-09-09,527,زشگزا,ZMMZ
1397-06-19,2018-09-10,529,زشگزا,ZMMZ
1397-06-20,2018-09-11,502,زشگزا,ZMMZ
1397-06-21,2018-09-12,490,زشگزا,ZMMZ
1397-06-24,2018-09-15,473,زشگزا,ZMMZ
1397-06-25,2018-09-16,462,زشگزا,ZMMZ
1397-06-26,2018-09-17,481,زشگزا,ZMMZ
1397-06-27,2018-09-18,504,زشگزا,ZMMZ
1397-06-31,2018-09-22,508,زشگزا,ZMMZ
1397-07-01,2018-09-23,498,زشگزا,ZMMZ
1397-07-02,2018-09-24,487,زشگزا,ZMMZ
1397-07-03,2018-09-25,504,زشگزا,ZMMZ
1397-07-04,2018-09-26,506,زشگزا,ZMMZ
1397-07-07,2018-09-29,535,زشگزا,ZMMZ
1397-07-08,2018-09-30,562,زشگزا,ZMMZ
1397-07-09,2018-10-01,562,زشگزا,ZMMZ
1397-07-10,2018-10-02,543,زشگزا,ZMMZ
1397-07-11,2018-10-03,526,زشگزا,ZMMZ
1397-07-14,2018-10-06,500,زشگزا,ZMMZ
1397-07-15,2018-10-07,508,زشگزا,ZMMZ
1397-07-16,2018-10-08,524,زشگزا,ZMMZ
1397-07-17,2018-10-09,513,زشگزا,ZMMZ
1397-07-18,2018-10-10,519,زشگزا,ZMMZ
1397-07-21,2018-10-13,495,زشگزا,ZMMZ
1397-07-22,2018-10-14,522,زشگزا,ZMMZ
1397-07-23,2018-10-15,547,زشگزا,ZMMZ
1397-07-24,2018-10-16,532,زشگزا,ZMMZ
1397-07-25,2018-10-17,527,زشگزا,ZMMZ
1397-07-28,2018-10-20,547,زشگزا,ZMMZ
1397-07-29,2018-10-21,574,زشگزا,ZMMZ
1397-07-30,2018-10-22,596,زشگزا,ZMMZ
1397-08-01,2018-10-23,581,زشگزا,ZMMZ
1397-08-02,2018-10-24,568,زشگزا,ZMMZ
1397-08-05,2018-10-27,542,زشگزا,ZMMZ
1397-08-06,2018-10-28,527,زشگزا,ZMMZ
1397-08-07,2018-10-29,544,زشگزا,ZMMZ
1397-08-09,2018-10-31,570,زشگزا,ZMMZ
1397-08-12,2018-11-03,562,زشگزا,ZMMZ
1397-08-13,2018-11-04,570,زشگزا,ZMMZ
1397-08-14,2018-11-05,572,زشگزا,ZMMZ
1397-08-15,2018-11-06,558,زشگزا,ZMMZ
1397-08-19,2018-11-10,542,زشگزا,ZMMZ
1397-08-20,2018-11-11,537,زشگزا,ZMMZ
1397-08-21,2018-11-12,560,زشگزا,ZMMZ
1397-08-22,2018-11-13,574,زشگزا,ZMMZ
1397-08-23,2018-11-14,581,زشگزا,ZMMZ
1397-08-26,2018-11-17,557,زشگزا,ZMMZ
1397-08-27,2018-11-18,577,زشگزا,ZMMZ
1397-08-28,2018-11-19,578,زشگزا,ZMMZ
1397-08-29,2018-11-20,583,زشگزا,ZMMZ
1397-08-30,2018-11-21,588,زشگزا,ZMMZ
1397-09-03,2018-11-24,578,زشگزا,ZMMZ
1397-09-05,2018-11-26,560,زشگزا,ZMMZ
1397-09-06,2018-11-27,556,زشگزا,ZMMZ
1397-09-07,2018-11-28,536,زشگزا,ZMMZ
1397-09-10,2018-12-01,531,زشگزا,ZMMZ
1397-09-11,2018-12-02,538,زشگزا,ZMMZ
1397-09-12,2018-12-03,545,زشگزا,ZMMZ
1397-09-19,2018-12-10,546,زشگزا,ZMMZ
1397-09-21,2018-12-12,570,زشگزا,ZMMZ
1397-09-24,2018-12-15,532,زشگزا,ZMMZ
1397-09-25,2018-12-16,528,زشگزا,ZMMZ
1397-09-26,2018-12-17,529,زشگزا,ZMMZ
1397-09-27,2018-12-18,532,زشگزا,ZMMZ
1397-09-28,2018-12-19,536,زشگزا,ZMMZ
1397-10-01,2018-12-22,538,زشگزا,ZMMZ
1397-10-02,2018-12-23,543,زشگزا,ZMMZ
1397-10-03,2018-12-24,556,زشگزا,ZMMZ
1397-10-04,2018-12-25,556,زشگزا,ZMMZ
1397-10-05,2018-12-26,556,زشگزا,ZMMZ
1397-10-08,2018-12-29,561,زشگزا,ZMMZ
1397-10-09,2018-12-30,555,زشگزا,ZMMZ
1397-10-10,2018-12-31,556,زشگزا,ZMMZ
1397-10-11,2019-01-01,564,زشگزا,ZMMZ
1397-10-12,2019-01-02,578,زشگزا,ZMMZ
