J-Date,Date,Adj Close,Ticker,Ticker(4)
1393-06-10,2014-09-01,1320,ثرود,ZNDZ
1393-06-11,2014-09-02,1386,ثرود,ZNDZ
1393-06-12,2014-09-03,1455,ثرود,ZNDZ
1393-06-15,2014-09-06,1527,ثرود,ZNDZ
1393-06-16,2014-09-07,1603,ثرود,ZNDZ
1393-06-17,2014-09-08,1658,ثرود,ZNDZ
1393-06-18,2014-09-09,1728,ثرود,ZNDZ
1393-06-19,2014-09-10,1673,ثرود,ZNDZ
1393-06-22,2014-09-13,1650,ثرود,ZNDZ
1393-06-23,2014-09-14,1583,ثرود,ZNDZ
1393-06-24,2014-09-15,1671,ثرود,ZNDZ
1393-06-25,2014-09-16,1622,ثرود,ZNDZ
1393-06-26,2014-09-17,1589,ثرود,ZNDZ
1393-06-29,2014-09-20,1622,ثرود,ZNDZ
1393-06-30,2014-09-21,1603,ثرود,ZNDZ
1393-06-31,2014-09-22,1587,ثرود,ZNDZ
1393-07-01,2014-09-23,1628,ثرود,ZNDZ
1393-07-02,2014-09-24,1592,ثرود,ZNDZ
1393-07-05,2014-09-27,1589,ثرود,ZNDZ
1393-07-06,2014-09-28,1593,ثرود,ZNDZ
1393-07-07,2014-09-29,1577,ثرود,ZNDZ
1393-07-08,2014-09-30,1575,ثرود,ZNDZ
1393-07-09,2014-10-01,1592,ثرود,ZNDZ
1393-07-12,2014-10-04,1597,ثرود,ZNDZ
1393-07-14,2014-10-06,1591,ثرود,ZNDZ
1393-07-15,2014-10-07,1557,ثرود,ZNDZ
1393-07-16,2014-10-08,1565,ثرود,ZNDZ
1393-07-19,2014-10-11,1583,ثرود,ZNDZ
1393-07-20,2014-10-12,1571,ثرود,ZNDZ
1393-07-22,2014-10-14,1544,ثرود,ZNDZ
1393-07-23,2014-10-15,1520,ثرود,ZNDZ
1393-07-26,2014-10-18,1534,ثرود,ZNDZ
1393-07-27,2014-10-19,1590,ثرود,ZNDZ
1393-07-28,2014-10-20,1618,ثرود,ZNDZ
1393-07-29,2014-10-21,1575,ثرود,ZNDZ
1393-07-30,2014-10-22,1545,ثرود,ZNDZ
1393-08-03,2014-10-25,1565,ثرود,ZNDZ
1393-08-04,2014-10-26,1546,ثرود,ZNDZ
1393-08-05,2014-10-27,1541,ثرود,ZNDZ
1393-08-06,2014-10-28,1545,ثرود,ZNDZ
1393-08-07,2014-10-29,1540,ثرود,ZNDZ
1393-08-10,2014-11-01,1552,ثرود,ZNDZ
1393-08-11,2014-11-02,1584,ثرود,ZNDZ
1393-08-14,2014-11-05,1641,ثرود,ZNDZ
1393-08-17,2014-11-08,1644,ثرود,ZNDZ
1393-08-18,2014-11-09,1656,ثرود,ZNDZ
1393-08-19,2014-11-10,1639,ثرود,ZNDZ
1393-08-20,2014-11-11,1661,ثرود,ZNDZ
1393-08-21,2014-11-12,1754,ثرود,ZNDZ
1393-08-24,2014-11-15,1771,ثرود,ZNDZ
1393-08-25,2014-11-16,1839,ثرود,ZNDZ
1393-08-26,2014-11-17,1801,ثرود,ZNDZ
1393-08-27,2014-11-18,1779,ثرود,ZNDZ
1393-08-28,2014-11-19,1729,ثرود,ZNDZ
1393-09-01,2014-11-22,1861,ثرود,ZNDZ
1393-09-02,2014-11-23,1805,ثرود,ZNDZ
1393-09-03,2014-11-24,1768,ثرود,ZNDZ
1393-09-04,2014-11-25,1706,ثرود,ZNDZ
1393-09-05,2014-11-26,1754,ثرود,ZNDZ
1393-09-08,2014-11-29,1784,ثرود,ZNDZ
1393-09-09,2014-11-30,1780,ثرود,ZNDZ
1393-09-10,2014-12-01,1854,ثرود,ZNDZ
1393-09-11,2014-12-02,1895,ثرود,ZNDZ
1393-09-12,2014-12-03,1803,ثرود,ZNDZ
1393-09-15,2014-12-06,1914,ثرود,ZNDZ
1393-09-16,2014-12-07,1936,ثرود,ZNDZ
1393-09-17,2014-12-08,1911,ثرود,ZNDZ
1393-09-18,2014-12-09,1818,ثرود,ZNDZ
1393-09-19,2014-12-10,1775,ثرود,ZNDZ
1393-09-26,2014-12-17,1555,ثرود,ZNDZ
1393-09-29,2014-12-20,1609,ثرود,ZNDZ
1393-10-01,2014-12-22,1669,ثرود,ZNDZ
1393-10-03,2014-12-24,1587,ثرود,ZNDZ
1393-10-06,2014-12-27,1686,ثرود,ZNDZ
1393-10-07,2014-12-28,1722,ثرود,ZNDZ
1393-10-08,2014-12-29,1657,ثرود,ZNDZ
1393-10-09,2014-12-30,1660,ثرود,ZNDZ
1393-10-10,2014-12-31,1655,ثرود,ZNDZ
1393-10-13,2015-01-03,1592,ثرود,ZNDZ
1393-10-14,2015-01-04,1602,ثرود,ZNDZ
1393-10-15,2015-01-05,1554,ثرود,ZNDZ
1393-10-16,2015-01-06,1503,ثرود,ZNDZ
1393-10-17,2015-01-07,1490,ثرود,ZNDZ
1393-10-20,2015-01-10,1414,ثرود,ZNDZ
1393-10-21,2015-01-11,1435,ثرود,ZNDZ
1393-10-22,2015-01-12,1442,ثرود,ZNDZ
1393-10-23,2015-01-13,1442,ثرود,ZNDZ
1393-10-24,2015-01-14,1418,ثرود,ZNDZ
1393-10-27,2015-01-17,1425,ثرود,ZNDZ
1393-10-28,2015-01-18,1405,ثرود,ZNDZ
1393-10-29,2015-01-19,1384,ثرود,ZNDZ
1393-10-30,2015-01-20,1362,ثرود,ZNDZ
1393-11-01,2015-01-21,1355,ثرود,ZNDZ
1393-11-04,2015-01-24,1358,ثرود,ZNDZ
1393-11-05,2015-01-25,1355,ثرود,ZNDZ
1393-11-06,2015-01-26,1375,ثرود,ZNDZ
1393-11-07,2015-01-27,1375,ثرود,ZNDZ
1393-11-08,2015-01-28,1468,ثرود,ZNDZ
1393-11-11,2015-01-31,1503,ثرود,ZNDZ
1393-11-12,2015-02-01,1460,ثرود,ZNDZ
1393-11-13,2015-02-02,1577,ثرود,ZNDZ
1393-11-14,2015-02-03,1632,ثرود,ZNDZ
1393-11-15,2015-02-04,1629,ثرود,ZNDZ
1393-11-18,2015-02-07,1577,ثرود,ZNDZ
1393-11-19,2015-02-08,1508,ثرود,ZNDZ
1393-11-20,2015-02-09,1453,ثرود,ZNDZ
1393-11-21,2015-02-10,1503,ثرود,ZNDZ
1393-11-25,2015-02-14,1471,ثرود,ZNDZ
1393-11-26,2015-02-15,1493,ثرود,ZNDZ
1393-11-27,2015-02-16,1494,ثرود,ZNDZ
1393-11-28,2015-02-17,1441,ثرود,ZNDZ
1393-11-29,2015-02-18,1486,ثرود,ZNDZ
1393-12-02,2015-02-21,1507,ثرود,ZNDZ
1393-12-03,2015-02-22,1517,ثرود,ZNDZ
1393-12-04,2015-02-23,1471,ثرود,ZNDZ
1393-12-05,2015-02-24,1524,ثرود,ZNDZ
1393-12-06,2015-02-25,1510,ثرود,ZNDZ
1393-12-09,2015-02-28,1574,ثرود,ZNDZ
1393-12-10,2015-03-01,1571,ثرود,ZNDZ
1393-12-11,2015-03-02,1597,ثرود,ZNDZ
1393-12-12,2015-03-03,1550,ثرود,ZNDZ
1393-12-13,2015-03-04,1635,ثرود,ZNDZ
1393-12-16,2015-03-07,1581,ثرود,ZNDZ
1393-12-17,2015-03-08,1563,ثرود,ZNDZ
1393-12-18,2015-03-09,1583,ثرود,ZNDZ
1393-12-19,2015-03-10,1618,ثرود,ZNDZ
1393-12-20,2015-03-11,1598,ثرود,ZNDZ
1393-12-23,2015-03-14,1590,ثرود,ZNDZ
1393-12-24,2015-03-15,1562,ثرود,ZNDZ
1393-12-25,2015-03-16,1588,ثرود,ZNDZ
1393-12-26,2015-03-17,1550,ثرود,ZNDZ
1393-12-27,2015-03-18,1571,ثرود,ZNDZ
1394-01-05,2015-03-25,1573,ثرود,ZNDZ
1394-01-08,2015-03-28,1594,ثرود,ZNDZ
1394-01-09,2015-03-29,1601,ثرود,ZNDZ
1394-01-10,2015-03-30,1554,ثرود,ZNDZ
1394-01-11,2015-03-31,1535,ثرود,ZNDZ
1394-01-15,2015-04-04,1610,ثرود,ZNDZ
1394-01-16,2015-04-05,1639,ثرود,ZNDZ
1394-01-17,2015-04-06,1594,ثرود,ZNDZ
1394-01-18,2015-04-07,1600,ثرود,ZNDZ
1394-01-19,2015-04-08,1560,ثرود,ZNDZ
1394-01-22,2015-04-11,1575,ثرود,ZNDZ
1394-01-23,2015-04-12,1546,ثرود,ZNDZ
1394-01-24,2015-04-13,1580,ثرود,ZNDZ
1394-01-25,2015-04-14,1617,ثرود,ZNDZ
1394-01-26,2015-04-15,1643,ثرود,ZNDZ
1394-01-29,2015-04-18,1609,ثرود,ZNDZ
1394-01-30,2015-04-19,1618,ثرود,ZNDZ
1394-01-31,2015-04-20,1575,ثرود,ZNDZ
1394-02-01,2015-04-21,1588,ثرود,ZNDZ
1394-02-02,2015-04-22,1563,ثرود,ZNDZ
1394-02-05,2015-04-25,1574,ثرود,ZNDZ
1394-02-06,2015-04-26,1576,ثرود,ZNDZ
1394-02-07,2015-04-27,1563,ثرود,ZNDZ
1394-02-08,2015-04-28,1575,ثرود,ZNDZ
1394-02-09,2015-04-29,1575,ثرود,ZNDZ
1394-02-13,2015-05-03,1581,ثرود,ZNDZ
1394-02-14,2015-05-04,1575,ثرود,ZNDZ
1394-02-15,2015-05-05,1571,ثرود,ZNDZ
1394-02-16,2015-05-06,1588,ثرود,ZNDZ
1394-02-19,2015-05-09,1525,ثرود,ZNDZ
1394-02-20,2015-05-10,1519,ثرود,ZNDZ
1394-02-21,2015-05-11,1532,ثرود,ZNDZ
1394-02-22,2015-05-12,1571,ثرود,ZNDZ
1394-02-23,2015-05-13,1520,ثرود,ZNDZ
1394-02-27,2015-05-17,1545,ثرود,ZNDZ
1394-02-28,2015-05-18,1579,ثرود,ZNDZ
1394-02-29,2015-05-19,1584,ثرود,ZNDZ
1394-02-30,2015-05-20,1575,ثرود,ZNDZ
1394-03-02,2015-05-23,1520,ثرود,ZNDZ
1394-03-03,2015-05-24,1511,ثرود,ZNDZ
1394-03-04,2015-05-25,1533,ثرود,ZNDZ
1394-03-05,2015-05-26,1533,ثرود,ZNDZ
1394-03-06,2015-05-27,1533,ثرود,ZNDZ
1394-03-09,2015-05-30,1514,ثرود,ZNDZ
1394-03-10,2015-05-31,1524,ثرود,ZNDZ
1394-03-11,2015-06-01,1537,ثرود,ZNDZ
1394-03-12,2015-06-02,1520,ثرود,ZNDZ
1394-03-16,2015-06-06,1505,ثرود,ZNDZ
1394-03-17,2015-06-07,1456,ثرود,ZNDZ
1394-03-18,2015-06-08,1431,ثرود,ZNDZ
1394-03-19,2015-06-09,1391,ثرود,ZNDZ
1394-03-20,2015-06-10,1409,ثرود,ZNDZ
1394-03-23,2015-06-13,1426,ثرود,ZNDZ
1394-03-24,2015-06-14,1405,ثرود,ZNDZ
1394-03-25,2015-06-15,1418,ثرود,ZNDZ
1394-03-26,2015-06-16,1418,ثرود,ZNDZ
1394-03-27,2015-06-17,1431,ثرود,ZNDZ
1394-03-30,2015-06-20,1401,ثرود,ZNDZ
1394-03-31,2015-06-21,1405,ثرود,ZNDZ
1394-04-01,2015-06-22,1418,ثرود,ZNDZ
1394-04-02,2015-06-23,1422,ثرود,ZNDZ
1394-04-03,2015-06-24,1384,ثرود,ZNDZ
1394-04-06,2015-06-27,1392,ثرود,ZNDZ
1394-04-07,2015-06-28,1363,ثرود,ZNDZ
1394-04-08,2015-06-29,1367,ثرود,ZNDZ
1394-04-09,2015-06-30,1433,ثرود,ZNDZ
1394-04-10,2015-07-01,1401,ثرود,ZNDZ
1394-04-13,2015-07-04,1456,ثرود,ZNDZ
1394-04-14,2015-07-05,1540,ثرود,ZNDZ
1394-04-15,2015-07-06,1593,ثرود,ZNDZ
1394-04-16,2015-07-07,1633,ثرود,ZNDZ
1394-04-20,2015-07-11,1616,ثرود,ZNDZ
1394-04-21,2015-07-12,1617,ثرود,ZNDZ
1394-04-22,2015-07-13,1656,ثرود,ZNDZ
1394-04-23,2015-07-14,1609,ثرود,ZNDZ
1394-04-24,2015-07-15,1548,ثرود,ZNDZ
1394-04-29,2015-07-20,1597,ثرود,ZNDZ
1394-04-30,2015-07-21,1500,ثرود,ZNDZ
1394-04-31,2015-07-22,1472,ثرود,ZNDZ
1394-05-03,2015-07-25,1430,ثرود,ZNDZ
1394-05-12,2015-08-03,1415,ثرود,ZNDZ
1394-05-13,2015-08-04,1438,ثرود,ZNDZ
1394-05-14,2015-08-05,1444,ثرود,ZNDZ
1394-05-17,2015-08-08,1436,ثرود,ZNDZ
1394-05-18,2015-08-09,1385,ثرود,ZNDZ
1394-05-19,2015-08-10,1371,ثرود,ZNDZ
1394-05-21,2015-08-12,1327,ثرود,ZNDZ
1394-05-24,2015-08-15,1330,ثرود,ZNDZ
1394-05-25,2015-08-16,1319,ثرود,ZNDZ
1394-05-26,2015-08-17,1319,ثرود,ZNDZ
1394-05-27,2015-08-18,1273,ثرود,ZNDZ
1394-05-28,2015-08-19,1233,ثرود,ZNDZ
1394-05-31,2015-08-22,1285,ثرود,ZNDZ
1394-06-01,2015-08-23,1253,ثرود,ZNDZ
1394-06-02,2015-08-24,1218,ثرود,ZNDZ
1394-06-03,2015-08-25,1195,ثرود,ZNDZ
1394-06-04,2015-08-26,1174,ثرود,ZNDZ
1394-06-07,2015-08-29,1232,ثرود,ZNDZ
1394-06-08,2015-08-30,1267,ثرود,ZNDZ
1394-06-09,2015-08-31,1281,ثرود,ZNDZ
1394-06-10,2015-09-01,1289,ثرود,ZNDZ
1394-06-11,2015-09-02,1267,ثرود,ZNDZ
1394-06-14,2015-09-05,1224,ثرود,ZNDZ
1394-06-15,2015-09-06,1197,ثرود,ZNDZ
