J-Date,Date,Adj Close,Ticker,Ticker(4)
1397-07-25,2018-10-17,742,زپارس,ZPRS
1397-07-28,2018-10-20,779,زپارس,ZPRS
1397-07-29,2018-10-21,791,زپارس,ZPRS
1397-07-30,2018-10-22,831,زپارس,ZPRS
1397-08-01,2018-10-23,872,زپارس,ZPRS
1397-08-02,2018-10-24,916,زپارس,ZPRS
1397-08-05,2018-10-27,961,زپارس,ZPRS
1397-08-06,2018-10-28,1009,زپارس,ZPRS
1397-08-07,2018-10-29,1060,زپارس,ZPRS
1397-08-09,2018-10-31,1112,زپارس,ZPRS
1397-08-12,2018-11-03,1168,زپارس,ZPRS
1397-08-13,2018-11-04,1226,زپارس,ZPRS
1397-08-14,2018-11-05,1288,زپارس,ZPRS
1397-08-15,2018-11-06,1352,زپارس,ZPRS
1397-08-19,2018-11-10,1419,زپارس,ZPRS
1397-08-20,2018-11-11,1557,زپارس,ZPRS
1397-08-21,2018-11-12,1629,زپارس,ZPRS
1397-08-22,2018-11-13,1711,زپارس,ZPRS
1397-08-23,2018-11-14,1796,زپارس,ZPRS
1397-08-28,2018-11-19,1957,زپارس,ZPRS
1397-08-29,2018-11-20,2040,زپارس,ZPRS
1397-08-30,2018-11-21,1929,زپارس,ZPRS
1397-09-03,2018-11-24,1851,زپارس,ZPRS
1397-09-05,2018-11-26,1765,زپارس,ZPRS
1397-09-06,2018-11-27,1709,زپارس,ZPRS
1397-09-07,2018-11-28,1643,زپارس,ZPRS
1397-09-10,2018-12-01,1605,زپارس,ZPRS
1397-09-11,2018-12-02,1633,زپارس,ZPRS
1397-09-12,2018-12-03,1684,زپارس,ZPRS
1397-09-13,2018-12-04,1650,زپارس,ZPRS
1397-09-14,2018-12-05,1600,زپارس,ZPRS
1397-09-17,2018-12-08,1546,زپارس,ZPRS
1397-09-18,2018-12-09,1491,زپارس,ZPRS
1397-09-19,2018-12-10,1568,زپارس,ZPRS
1397-09-20,2018-12-11,1505,زپارس,ZPRS
1397-09-21,2018-12-12,1501,زپارس,ZPRS
1397-09-24,2018-12-15,1446,زپارس,ZPRS
1397-09-25,2018-12-16,1410,زپارس,ZPRS
1397-09-26,2018-12-17,1429,زپارس,ZPRS
1397-09-27,2018-12-18,1399,زپارس,ZPRS
1397-09-28,2018-12-19,1392,زپارس,ZPRS
1397-10-01,2018-12-22,1378,زپارس,ZPRS
1397-10-02,2018-12-23,1418,زپارس,ZPRS
1397-10-03,2018-12-24,1434,زپارس,ZPRS
1397-10-04,2018-12-25,1446,زپارس,ZPRS
1397-10-05,2018-12-26,1426,زپارس,ZPRS
1397-10-08,2018-12-29,1421,زپارس,ZPRS
1397-10-09,2018-12-30,1485,زپارس,ZPRS
1397-10-10,2018-12-31,1449,زپارس,ZPRS
1397-10-11,2019-01-01,1444,زپارس,ZPRS
1397-10-12,2019-01-02,1516,زپارس,ZPRS
1397-10-15,2019-01-05,1516,زپارس,ZPRS
1397-10-16,2019-01-06,1595,زپارس,ZPRS
1397-10-17,2019-01-07,1567,زپارس,ZPRS
1397-10-18,2019-01-08,1589,زپارس,ZPRS
1397-10-19,2019-01-09,1626,زپارس,ZPRS
1397-10-22,2019-01-12,1674,زپارس,ZPRS
1397-10-23,2019-01-13,1692,زپارس,ZPRS
1397-10-24,2019-01-14,1686,زپارس,ZPRS
1397-10-25,2019-01-15,1662,زپارس,ZPRS
1397-10-26,2019-01-16,1636,زپارس,ZPRS
1397-10-29,2019-01-19,1675,زپارس,ZPRS
1397-10-30,2019-01-20,1633,زپارس,ZPRS
1397-11-01,2019-01-21,1588,زپارس,ZPRS
1397-11-02,2019-01-22,1589,زپارس,ZPRS
1397-11-03,2019-01-23,1636,زپارس,ZPRS
1397-11-06,2019-01-26,1622,زپارس,ZPRS
1397-11-07,2019-01-27,1593,زپارس,ZPRS
1397-11-08,2019-01-28,1580,زپارس,ZPRS
1397-11-09,2019-01-29,1550,زپارس,ZPRS
1397-11-10,2019-01-30,1540,زپارس,ZPRS
1397-11-13,2019-02-02,1491,زپارس,ZPRS
1397-11-14,2019-02-03,1483,زپارس,ZPRS
1397-11-15,2019-02-04,1465,زپارس,ZPRS
1397-11-16,2019-02-05,1484,زپارس,ZPRS
1397-11-17,2019-02-06,1482,زپارس,ZPRS
1397-11-21,2019-02-10,1477,زپارس,ZPRS
1397-11-23,2019-02-12,1493,زپارس,ZPRS
1397-11-24,2019-02-13,1489,زپارس,ZPRS
1397-11-27,2019-02-16,1484,زپارس,ZPRS
1397-11-28,2019-02-17,1556,زپارس,ZPRS
1397-11-29,2019-02-18,1614,زپارس,ZPRS
1397-11-30,2019-02-19,1660,زپارس,ZPRS
1397-12-01,2019-02-20,1711,زپارس,ZPRS
1397-12-04,2019-02-23,1648,زپارس,ZPRS
1397-12-05,2019-02-24,1648,زپارس,ZPRS
1397-12-06,2019-02-25,1659,زپارس,ZPRS
1397-12-07,2019-02-26,1618,زپارس,ZPRS
1397-12-08,2019-02-27,1683,زپارس,ZPRS
1397-12-11,2019-03-02,1664,زپارس,ZPRS
1397-12-12,2019-03-03,1696,زپارس,ZPRS
1397-12-13,2019-03-04,1734,زپارس,ZPRS
1397-12-14,2019-03-05,1820,زپارس,ZPRS
1397-12-15,2019-03-06,1841,زپارس,ZPRS
1397-12-18,2019-03-09,1789,زپارس,ZPRS
1397-12-19,2019-03-10,1739,زپارس,ZPRS
1397-12-20,2019-03-11,1779,زپارس,ZPRS
1397-12-21,2019-03-12,1760,زپارس,ZPRS
1397-12-22,2019-03-13,1802,زپارس,ZPRS
1397-12-25,2019-03-16,1771,زپارس,ZPRS
1397-12-26,2019-03-17,1781,زپارس,ZPRS
1397-12-27,2019-03-18,1809,زپارس,ZPRS
1397-12-28,2019-03-19,1849,زپارس,ZPRS
1398-01-05,2019-03-25,1936,زپارس,ZPRS
1398-01-06,2019-03-26,2011,زپارس,ZPRS
1398-01-07,2019-03-27,1929,زپارس,ZPRS
1398-01-10,2019-03-30,1940,زپارس,ZPRS
1398-01-11,2019-03-31,2037,زپارس,ZPRS
1398-01-17,2019-04-06,2130,زپارس,ZPRS
1398-01-18,2019-04-07,2099,زپارس,ZPRS
1398-01-19,2019-04-08,2069,زپارس,ZPRS
1398-01-20,2019-04-09,2075,زپارس,ZPRS
1398-01-21,2019-04-10,2214,زپارس,ZPRS
1398-01-24,2019-04-13,2120,زپارس,ZPRS
