J-Date,Date,Adj Close,Ticker,Ticker(4)
1387-09-14,12/4/2008,9248.9,شاخص کل,OverallIndex
1387-09-15,12/5/2008,9248.9,شاخص کل,OverallIndex
1387-09-16,12/6/2008,9178.3,شاخص کل,OverallIndex
1387-09-17,12/7/2008,9130.5,شاخص کل,OverallIndex
1387-09-18,12/8/2008,9089.2,شاخص کل,OverallIndex
1387-09-20,12/10/2008,9023.7,شاخص کل,OverallIndex
1387-09-23,12/13/2008,8973.3,شاخص کل,OverallIndex
1387-09-24,12/14/2008,8907,شاخص کل,OverallIndex
1387-09-25,12/15/2008,8890.7,شاخص کل,OverallIndex
1387-09-26,12/16/2008,8869,شاخص کل,OverallIndex
1387-09-30,12/20/2008,8857.1,شاخص کل,OverallIndex
1387-10-01,12/21/2008,8851.6,شاخص کل,OverallIndex
1387-10-02,12/22/2008,8832.2,شاخص کل,OverallIndex
1387-10-03,12/23/2008,8803.4,شاخص کل,OverallIndex
1387-10-04,12/24/2008,8795.7,شاخص کل,OverallIndex
1387-10-07,12/27/2008,8786.7,شاخص کل,OverallIndex
1387-10-08,12/28/2008,8757.8,شاخص کل,OverallIndex
1387-10-09,12/29/2008,8726.9,شاخص کل,OverallIndex
1387-10-10,12/30/2008,8695,شاخص کل,OverallIndex
1387-10-11,12/31/2008,8656.3,شاخص کل,OverallIndex
1387-10-14,1/3/2009,8641.8,شاخص کل,OverallIndex
1387-10-15,1/4/2009,8619.6,شاخص کل,OverallIndex
1387-10-16,1/5/2009,8596.4,شاخص کل,OverallIndex
1387-10-21,1/10/2009,8575.7,شاخص کل,OverallIndex
1387-10-22,1/11/2009,8542,شاخص کل,OverallIndex
1387-10-23,1/12/2009,8519,شاخص کل,OverallIndex
1387-10-24,1/13/2009,8463.7,شاخص کل,OverallIndex
1387-10-25,1/14/2009,8456.9,شاخص کل,OverallIndex
1387-10-28,1/17/2009,8458.1,شاخص کل,OverallIndex
1387-10-29,1/18/2009,8459.9,شاخص کل,OverallIndex
1387-10-30,1/19/2009,8467.4,شاخص کل,OverallIndex
1387-11-01,1/20/2009,8496.9,شاخص کل,OverallIndex
1387-11-02,1/21/2009,8514.3,شاخص کل,OverallIndex
1387-11-05,1/24/2009,8553.7,شاخص کل,OverallIndex
1387-11-06,1/25/2009,8519.1,شاخص کل,OverallIndex
1387-11-07,1/26/2009,8507.3,شاخص کل,OverallIndex
1387-11-08,1/27/2009,8509.1,شاخص کل,OverallIndex
1387-11-09,1/28/2009,8505.6,شاخص کل,OverallIndex
1387-11-12,1/31/2009,8508.3,شاخص کل,OverallIndex
1387-11-13,2/1/2009,8491.8,شاخص کل,OverallIndex
1387-11-14,2/2/2009,8496.2,شاخص کل,OverallIndex
1387-11-15,2/3/2009,8483.4,شاخص کل,OverallIndex
1387-11-16,2/4/2009,8466.4,شاخص کل,OverallIndex
1387-11-19,2/7/2009,8451.3,شاخص کل,OverallIndex
1387-11-20,2/8/2009,8438,شاخص کل,OverallIndex
1387-11-21,2/9/2009,8423.7,شاخص کل,OverallIndex
1387-11-23,2/11/2009,8430,شاخص کل,OverallIndex
1387-11-26,2/14/2009,8420,شاخص کل,OverallIndex
1387-11-27,2/15/2009,8412.7,شاخص کل,OverallIndex
1387-11-29,2/17/2009,8390.2,شاخص کل,OverallIndex
